, ,"Набор для лепки в кейсе","Набор для лепки динозавров из пластилина. Сделан из качественного и безопасного пластика. Инструменты для работы не имеют острых углов 
и краёв, об них нельзя пораниться либо отрезать что-то кроме теста. 

Пластилин водоустойчивый, держит формы, 
не крошится и не тонет в воде. 

В наборе: формочки динозавров, пластилин, ножницы, шприц для выдавливания пластилина, ножики пластиковые, валик для раскатки пластилина, чемоданчик.
","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,300,,,0,,,,0,,,,10-12,
,,,,,,,,,,,,,,,,,,
Света Л, ,"Набор джибитсов","Посчитать комплекты из 10, 15 и 20 штук в наборе. ","Материал: ПВХ
Размер: 3 х 3 см
Упаковка: инд пакет"," Дизайн: индивидуальная форма, 10 шт в наборе ",300,,,0,,,,0,,,,10-12,
,,,,," Дизайн: индивидуальная форма, 15 шт в наборе ",,,,,,,,,,,,,
,,,,," Дизайн: индивидуальная форма, 20 шт в наборе ",,,,,,,,,,,,,
-, ,"Бутылка с джибитсами","Подстаканник/чехол для бутылки с отверстиями для джибитсов. На подстаканнике от 5 до 10 отверстий под джибитсы. ","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,300,,,0,,,,0,,,,10-12,
,,,,,,,,,,,,,,,,,,
Аня, ,"Пенал для джибитсов
","Пенал с отверстиями для джибитсов. 
На пенале от 5 до 10 отверстий под джибитсы. ","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,300,,,0,,,,0,,,,10-12,
,,,,,,,,,,,,,,,,,,
Света Л, ,"Браслет для джибитсов","Браслет с отверстиями для джибитсов. 
На браслете от 5 до 10 отверстий под джибитсы. ","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,300,,,0,,,,0,,,,10-12,
,,,,,,,,,,,,,,,,,,
Арина, ,"Балансборд
","Детский балансировочный диск с тремя уровнями сложности. В комплекте: 3 сменных блока, 
2 шарика.

Размеры: 45 х 22 см.","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,300,,,0,,,,0,,,,10-12,
,,,,,,,,,,,,,,,,,,
Арина, ,"Копилка-конструктор","Необычный пластиковый конструктор – 
это оригинальная занимательная игрушка, 
3D-пазл, который можно использовать в качестве копилки. 

Шар можно разобрать на части и снова сложить обратно. Трехмерную копилку-шар можно собирать несколькими способами. Игрушка способствует развитию пространственного 
и логического мышления, тренирует внимательность, ловкость рук. 

Материал: пластик. ","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,300,,,0,,,,0,,,,10-12,
,,,,,,,,,,,,,,,,,,
, ,"Алмазная мозаика по фото","Алмазная мозаика по фото. Загрузите свою любимую фотографию и получите схему для сборки мозаики в несколько кликов. 

Комплектация набора: холст, подрамник, стразы, стилус, насадка для выравнивания, лотки, гель-магнит, клей, пинцет, крепления, инструкция.

Размер: 40 х 50 см. Доступные размеры: 20 х 25 см, 22,5 х 31,5 см, 31,5 х 43,5 см, 42,5 х 52,5 см. ","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,400,,,0,,,,0,,,,10-12,
,,,,,,,,,,,,,,,,,,
, ,"Детская умная копилка","Копилка выполнена в красивом интересном дизайне, оснащена световыми индикаторами 
и музыкальным сопровождением. 

Проигрывает до 7 песен, издает звуки предупреждения при открытом сейфе. 
Работает от код-пароля и отпечатка пальца. 

В комплекте Вы найдете разработанный специально для детей чек лист «Накопи на мечту!», где собраны полезные советы по финансовой грамотности 
для детей, а также трекер для отслеживания накоплений в копилке. 

В детскую электронную копилку встроены автоматический купюроприемник и отверстие 
для приема монет.
","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,400,,,0,,,,0,,,,10-12,
,,,,,,,,,,,,,,,,,,
Саша, ,"Фотоаппарат чековый","Фотоаппарат мгновенной печати. Печатает 
по принципу термопечати чековой бумагой 
в чёрно-белых цветах.

Материал: ABS-пластик. Размер: 9,5 х 5 х 11,5 см. ","Материал: пластик
Размер: 110*80*30mm 150g
Упаковка: опп пакет
Примечание от фабрики: 800 мач", Дизайн: сток,400,"27,9","2370,2",948076,30-35,"28,7","2442,8",977108,20-25,3 084,3,13-15,
