 ,Светоотражающие брелки ,"Материал: pvc
Размер:  
Упаковка:  пакет 
Примечание от фабрики: ", Дизайн: по макету клиента ,300,"1,6","163,8",35-40,"1,7","169,5",25-30,8 746,7,17-19,,20.02.2025
,,,,500,"1,6","169,4",,"1,7","177,7",,,,,,
 ,Кружка,"Материал: керамика 
Размер:  350 мл
Упаковка:  коробка
Примечание от фабрики: ", Дизайн: лого/картинка по  макету клиента ,300,"5,4","557,6",35-40,"6,9","711,7",25-30,,7,17-19,,18.02.2025
,,,,500,"5,3","546,5",,"6,8","700,5",,,,,,
 ,Значки ,"Материал: металл 
Размер:  
Упаковка: пакет 
Примечание от фабрики: ", Дизайн: без брендирования ,300,"2,8","286,5",30-35,"2,8","291,0",25-30,1 599,2 （сток）,17-19,,21.02.2025
,,,,500,"2,8","284,8",,"2,8","289,4",,,,,,
 ,Бутылка ,"Материал: нержавеющпя сталь
Размер:  750 мл
Упаковка: пакет 
Примечание от фабрики: ", Дизайн: одноцветное лого/картинка ,300,"8,7","899,1",32-47,"10,0","1030,1",27-32,7 695,7,17-19,,18.02.2025
,,,,500,"8,6","887,9",,"9,9","1018,9",,,,,,
 ,Бутылка ,"Материал: нержавеющпя сталь
Размер:  350 мл
Упаковка: пакет 
Примечание от фабрики: ", Дизайн: одноцветное лого/картинка ,300,"7,5","773,7",32-47,"8,8","908,6",27-32,7 695,7,17-19,,18.02.2025
,,,,500,"7,5","771,5",,"8,8","906,3",,,,,,
 ,Бутылка ,"Материал: нержавеющая сталь
Размер:  450 мл
Упаковка: пакет 
Примечание от фабрики: ", Дизайн: одноцветное лого/картинка ,300,"7,6","783,5",32-47,"8,8","902,3",27-32,7 695,7,17-19,,18.02.2025
,,,,500,"7,6","781,2",,"8,7","900,0",,,,,,
 ,Сумка-кошелек,"Материал: полиэстер 
Размер:  
Упаковка: пакет 
Примечание от фабрики: ", Дизайн: одноцветное лого,300,"3,3","342,7",32-47,"3,6","367,1",27-32,5 281,7,17-19,,20.02.2025
,,,,500,"3,3","340,5",,"3,5","364,8",,,,,,
 ,Карманный фонарик ,"Материал: пластик 
Размер:  69*30 mm
Упаковка: пакет 
Примечание от фабрики: ", Дизайн: одноцветное лого,300,"6,6","679,9",32-47,"6,9","710,4",27-32,6 820,7,17-19,,18.02.2025
,,,,500,"6,5","668,7",,"6,8","699,2",,,,,,
,Пилотка,"Материал: полиэстер
Размер:  универсальный
Упаковка: пакет 
Примечание от фабрики:  ",Дизайн: двхуцветный логотип термотрансфером,500,"5,384","554,58",40-45,"5,670","584,00",30-35,9000,7,19,,16.02
,фляга,"Материал: аллюминий
Размер:  1,2 л
Упаковка: пакет
Примечание от фабрики:  ",Дизайн: двухцветный логотип,300-500,"7,619","784,80",35-40,"9,430","971,27",25-30,9000,7,19,,21.02
,фляга,"Материал: аллюминий
Размер:  1,2 л, 18*3 см
Упаковка: пакет
Примечание от фабрики:  ",Дизайн: двухцветный логотип,300-500,"9,143","941,74",35-40,"9,808","1010,20",25-30,9000,7,19,,21.02
,пауэрбанк на солнечной батареи ,"Материал: пластик
Размер:  88*78*26мм, 5000mah
Упаковка: инд коробка
Примечание от фабрики:  ","Дизайн: двухцветный логотип, шубер",300-500,"7,725","795,69",32-37,"8,361","861,17",22-27,9000,7,19,,24.02
 ,компас,"Материал: сплав
Размер:  10,7*0,3 см
Упаковка: инд коробка
Примечание от фабрики:  ", Дизайн: гравировка,300,"2,311","238,03",27-32,"2,498","257,29",17-22,4 000,7,19,,28.02
,,,,500,"2,000","206,05",,"2,187","225,31",,,,,,
,мультитул,"Материал: сплав
Размер:  10,7*0,3 см
Упаковка: инд коробка
Примечание от фабрики:  ",Дизайн: шубер,300-500,"3,286","338,42",30-35,"3,796","390,95",20-25,4000,5,17,,26.02
,лопата,"Материал: сплав
Размер:  16,5*10 см в сложенном виде
Упаковка: инд коробка
Примечание от фабрики: встроенный в ручку компас, упаковка в чехол",Дизайн: логотип акриловой наклейкой,300-500,"5,521","568,64",40-45,"7,114","732,79",30-35,12000,7,19,,16.02
,колонка,"Материал: пластик
Размер:  90*128.5*90 мм
Упаковка: инд коробка
Примечание от фабрики: ","Дизайн: двухцветный логотип, шубер",300-500,"9,572","985,95",35-40,,,,9000,7,19,,14.02
,компас,"Материал: аллюминий
Размер:  49*13 мм
Упаковка: инд коробка
Примечание от фабрики: ",Дизайн: шубер,300-500,"5,991","617,09",35-40,"6,390","658,20",25-30,4000,5,17,,21.02
,чехол для бутылки,"Материал: оксфорд
Размер:  9*19 см, подходит для бутылки 1000 мл
Упаковка: инд пакет
Примечание от фабрики: ",Дизайн: двухцветный логотип  ,300-500,"2,528","260,40",40-45,"2,834","291,92",30-35,9000,7,19,,16.02
