 ,Панама,"Материал: 100% хлопок
Размер: обхват головы 59 см, высота 9 см, поля 6 см, верхний диаметр 16,5 см
Упаковка: индивидуальный пакет
Примечание от фабрики: точная стоимость после образца, зависит от сложности нанесения"," Дизайн: цифровая печать, полная запечатка","1,55",150000,"2,8","269,6",55-60,"2,99","290,49",45-50,"8 700,00",17-20,
,,,,"1,5",250000,"2,63","255,91",70-75,"2,84","276,16",60-65,,,
,,,,"1,45",350000,"2,52","244,98",85-90,"2,72","264,56",75-80,,,
 ,Панама,"Материал: 100% полиэстер
Размер: обхват головы 59 см, высота 9 см, поля 6 см, верхний диаметр 16,5 см
Упаковка: индивидуальный пакет
Примечание от фабрики: точная стоимость после образца, зависит от сложности нанесения"," Дизайн: сублимационная печать, полная запечатка","1,55",150000,"2,4","228,6",55-60,"2,56","249,53",45-50,"8 700,00",17-20,
,,,,"1,5",250000,"2,25","218,75",70-75,"2,46",239,60-65,,,
,,,,"1,45",350000,"2,15","209,06",85-90,"2,35","228,64",75-80,,,
 ,Полотенце ,"Материал: микроволокно
Размер: 35*75
Упаковка: 
Примечание от фабрики: ", Дизайн: нанесение логотипа ,"2,5",150000,"3,6","362,6",55-60,"4,06","295,4",45-50,"2 000,00",12-15,
,,,,2,250000,"3,19","310,26",,"3,58","347,9",,,,
,,,,"1,9",350000,"2,9","282,1",,"3,25","316,3",,,,
 ,Скейт  ,"Материал: дерево, алюминий 
Размер: 31*8 дюма
колеса: 50*30 мм
ABEC-7 подшибник
Упаковка: индивидуальная коробка 
Примечание от фабрики: ", Дизайн: Черная наждачная бумага спереди и пвх-наклейка с дизайном сзади.,"1,7",150000,"35,8","3481,7",55-60,"44,2","4302,12",45-50,"7 000,00",20-22,
,,,,"1,65",250000,"34,34","3341,3",,"42,8","4161,8",,,,
,,,,"1,63",350000,"32,9","3200,4",,"41,3","4021,37",,,,
