,"Менеджер: Тищук Анастасия
Email: tishuk.a@megamind.ru
Телефон:89384630209 
",,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
,,"Размер: 19*10*27
Цветной вариант



",200-300,"25,3","2684,3",28-32,"31,9","3381,0",18-22,,1,
 ,Ваза,"Размер: 14.5*8*22
Цвет прозрачный




",200-300,"15,7","1661,2",28-32,"21,3","2260,2",18-22,"6903,52
6961,89
",1,11-13
,,"Размер: 14.5*8*22
Цветной вариант



",200-300,"16,2","1719,6",28-32,"21,9","2318,6",18-22,,1,
 ,Ваза,"Размер: 19*10*27
Цвет прозрачный




",200-300,"21,1","2236,5",28-32,"26,0","2753,3",18-22,"7255,46
7313,83
",1,11-13
,,"Размер: 19*10*27
Цветной вариант



",200-300,"21,6","2294,9",28-32,"26,5","2811,7",18-22,,1,
 ,Ваза,"Размер: 14.5*8*22
Цвет прозрачный




",200-300,"15,7","1661,2",28-32,"21,3","2260,2",18-22,"6903,52
6961,89",1,11-13
,,"Размер: 14.5*8*22
Цветной вариант



",200-300,"16,2","1719,6",28-32,"21,9","2318,6",18-22,,1,
,Подсвечник,"Размер: 5*17,5см
Материал стекло 


",200-300,"8,7","918,7",28-32,"10,7","1137,7",18-32,"16047,56(5 шт)",1,13
,Подсвечник,"Размер: 5*20,3см
Материал стекло 


",200-300,"8,1","858,7",28-32,"10,0","1062,6",18-32,,,
,Подсвечник,"Размер: 5*25см
Материал стекло 


",200-300,"8,1","858,7",28-32,"10,0","1062,6",18-32,,,
,Подсвечник,"Размер: 5,2*14,2см
Материал стекло 


",200-300,"8,1","858,7",28-32,"10,0","1062,6",18-32,,,
,Подсвечник,"Размер: 5,2*19см
Материал стекло 


",200-300,"6,1","651,6",28-32,"7,3","775,5",18-32,,,
,Бокал,"Размер: 8*8*21
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,6 258,5,17-20
,Бокал,"Размер: 7*7*22
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 8*8*15
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 8*8*21
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 10*10*20
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 10*10*20
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 10*10*22
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 10*10*22
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 10*10*19
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 8*8*21
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 8*8*21
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 8*8*19
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 8*8*23
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 10,5*10,5*23
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 10*10*18
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 9*9*15,5
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 10,5*10,5*23
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 10*10*23
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 8*8*19
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 9*9*22
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 9*9*22
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 8*8*20
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
,Бокал,"Размер: 9*9*22
Материал стекло 


",200-300,"11,8","1251,4",50-60,"15,1","1596,4",40-50,,,
