,Зарядная станция,"Материал: Пластик  
Размер: 7,5*7,5*7,5 см 
Упаковка:  Картонная коробка 
Примечание от фабрики: 
Общая мощность 15Вт
Можность зарядки для телефона - 15 Вт
Для часов - 2,5 Вт
Для наушников - 3 Вт
Зарядка для часов съемная, подключается через type-c разъем к основному корпусу зарядной станции и к адаптеру, подключенному к сети
В комплекте идет провод type-c - type-c 
Питание от аккумулятора  
Необходимо оформление декларации соответствия и сертификата соответствия. Общая стоимость - примерно 100.000 р. Не входит в стоимость."," Дизайн: Черный цвет изделия
Лого- лазерная гравировка, серым цветом, на месте логотипа фабрики 
Цветной логотип сделать нельзя",70,"27,0","2325,0","162747,2",35-40,,,0,,7 600,12,22-24,
,,,,100,"27,0","2325,0",232496,35-40,,,0,,,,,
,,,,130,"27,0","2325,0","302244,8",35-40,,,0,,,,,
 ,Блокнот ,"Материал: бумага, обложка - искусственная кожа 
Размер: а5
Упаковка:  ОРР пакет
Примечание от фабрики: минимальный тираж 100 штук"," Дизайн: тиснение, горячее тиснение серебром или УФ печать по макету клиента",100,"5,79","508,99 ₽","50 898,61 ₽",50-55,,,0,,5 200,6,16-18,
,,,,130,"5,16","453,93 ₽","59 011,38 ₽",50-55,,,0,,,,,
 ,Блокнот ,"Материал: бумага, обложка - искусственная кожа 
Размер: а5
Упаковка:  ОРР пакет
Примечание от фабрики: минимальный тираж 100 штук
Ограничение по картинке клиента 5 цветов"," Дизайн Индивидуальный дизайн по макету клиента(тиснение и основная картинка на обложке), возможность кастома страниц",100,"5,79","684,51 ₽","68 451,11 ₽",55-60,,,0,,10 400,8,18-20,
,,,,130,"5,16","611,91 ₽","79 547,80 ₽",55-60,,,0,,,,,
 ,Бокал,"Материал: Стекло, металл 
Размер: Стандартный заводской размер, 300мл
Упаковка:  ОРР пакет
Примечание от фабрики: минимальный тираж 100 штук
Цена за один бокал", Дизайн Лазерная гравировка по макету клиента,100,"15,68","1 424,20 ₽","142 420,09 ₽",55-60,,,0,,10 400,8,18-20,
,,,,130,"14,75","1 340,42 ₽","174 255,17 ₽",55-60,,,0,,,,,
 ,Бокал,"Материал: Стекло, металл 
Размер: Стандартный заводской размер, 300мл
Упаковка:  ОРР пакет
Примечание от фабрики: минимальный тираж 100 штук
Цена за один бокал", Дизайн Лазерная гравировка по макету клиента,100,"15,97","1 449,07 ₽","144 906,69 ₽",55-60,,,0,,10 400,8,18-20,
,,,,130,"15,03","1 363,83 ₽","177 297,60 ₽",55-60,,,0,,,,,
 ,Кубик Рубика,"Материал: АБС пластик
Размер: 56*56*56мм
Упаковка:  Прозрачный пластиковый кейс
Примечание от фабрики: ", Дизайн: Запечатка по макету клиента,70,"13,36","1 269,04 ₽","88 832,81 ₽",55-60,,,0,,6 800,7,17-19,
,,,,100,"14,10","1 205,59 ₽","120 558,82 ₽",55-60,,,0,,,,,
,,,,130,"14,84","1 142,14 ₽","148 477,70 ₽",55-60,,,0,,,,,
 ,Аромадиффузор,"Материал: Дерево, металл
Размер: 67*18 мм
Упаковка:  Стандартная картонная коробка
Примечание от фабрики: минимальный тираж 100 штук
Флаконы в наборе будут пустыми, необходимо заливать их в РФ (не входит в стоимость), также можно сделать набор без флакона, цена не изменится", Дизайн Лазерная гравировка по макету клиента,100,"20,59","1 766,92 ₽","176 691,53 ₽",55-60,,,0,,9 300,6,16-18,
,,,,130,"18,48","1 586,07 ₽","206 189,09 ₽",55-60,,,0,,,,,
 ,Ручка,"Материал: металл
Размер: 135*10 мм
Упаковка:  ОРР пакет
Примечание от фабрики: минимальный тираж 100 штук
", Дизайн Лазерная гравировка по макету клиента,100,"3,13","269,96 ₽","26 996,14 ₽",55-60,,,0,,4 700,5,15-17,
,,,,130,"2,97","256,46 ₽","33 340,23 ₽",55-60,,,0,,,,,
 ,Ручка,"Материал: АБС пластик
Размер: 137*10 мм
Упаковка:  ОРР пакет
Примечание от фабрики: минимальный тираж 100 штук
", Дизайн Лазерная гравировка по макету клиента,100,"2,44","211,45 ₽","21 145,31 ₽",55-60,,,0,,3 800,5,15-17,
,,,,130,"2,32","200,88 ₽","26 114,45 ₽",55-60,,,0,,,,,
 ,Ручка,"Материал: Металл
Размер: 140*12 мм
Упаковка:  ОРР пакет
Примечание от фабрики: минимальный тираж 100 штук
", Дизайн Лазерная гравировка по макету клиента,100,"3,47","299,22 ₽","29 921,56 ₽",55-60,,,0,,5 400,5,15-17,
,,,,130,"3,30","284,25 ₽","36 953,12 ₽",55-60,,,0,,,,,
 ,"Автомобильный очиститель воздуха

Требуется оформление ДС и СС, примерная стоимость 100 тыс. руб., в цену за единицу не включены","Материал: АБС пластик+металл
Размер: 160*65 мм
Упаковка:  заводская коробка
Примечание от фабрики: 

Мощность продукта: 2 Вт
Напряжение продукта: DC 5 В
Источник питания: USB-прикуриватель
Принцип очистки: очистка фильтром (HEPA, активированный уголь)
Скорость вращения вентилятора: 3800 об/мин
Применимое пространство: 3-10 кубических метров
Цвета: черный, мокко-золотой
Размер фильтра: диаметр 4 см * высота 6,5 см", Дизайн: нанесение цветного логотипа,70,"39,06","3 375,05 ₽","236 253,50 ₽",45-50,,,0,,28 000,10,20-22,
,,,,100,"39,36","3 400,91 ₽","340 091,00 ₽",,,,0,,,,,
,,,,130,"38,86","3 358,57 ₽","436 614,10 ₽",,,,0,,,,,
,Многофункциональный ежедневник,"Материал: PU
Цвет: черный
Упаковка: кастомная коробка с ложементом                            
Размер: 225*178mm
Примечание от фабрики: 10 000mAh , 100 листов, функция беспроводной зарядки
Есть разные виды обложки"," Дизайн: тиснение / УФ печать логотипа или паттерна на ежедневнике, кастомная коробка",100,"38,7","3734,0",373400,60-65,,,0,,16 800,10,20-22,
,,,,130,"38,1","3622,0",470860,,,,0,,,,,
 ,Умная бутылка,"Материал: нержавеющая сталь
Цвет: черный
Упаковка: заводская коробка                            
Размер: 22*6см
Примечание от фабрики: работает от приложения, контролирует кол-во потребляемой жидкости, присылает уведомление на телефон с напоминанием попить воды, отображает температуру воды", Дизайн: гравировка лого,100,"43,6","3742,0",374200,45-50,,,0,,11 000,5,15-17,
,,,,130,"43,3","3714,0",482820,,,,0,,,,,
,Умный блокнот,"Материал: ПВХ обложка, выскотехнологичная бумага
Размер: А5
Упаковка: Кастомная коробка
Примечание от фабрики: Для сканирования документов и синхронизации страниц с телефоном необходимо скачать приложение (есть в App Store и Google store), в приложении нет русского языка, есть английский  ", Дизайн: Шелкография логотипа клиента один цвет,100,"15,4",1458.12,50-55,50-55,,,0,,10400,7,17-19,
,,,,130,"11,9","1263,8",50-55,,,,0,,,,,
 ,Колонка-мультизарядка Magsafe,"Материал: АБС+ПС+алюминий
Размер: 67*67*109 мм
Упаковка:  заводская коробка
Примечание от фабрики: колонка с многофункциональной зарядкой. Можно одновременно заряжать три устройства. Bluetooth-динамик, часы, будильник, мультяшный пиксель. 
Вход: QC/PD 18 Вт Type-C
Выход: 5 Вт/7.5 Вт/10 Вт/15 Вт (телефон)
2.5 Вт (наручные часы), 5 Вт (наушники)
Рабочая частота: 110–205 кГц
Рабочее расстояние: 3–6 мм
Эффективность преобразования: 80–85%", Дизайн: есть возможность нанести логотип,70,"61,14","5 271,48 ₽","369 003,60 ₽",55-60,,,0,,"образец качества:

7000",5,15-17,
,,,,100,"60,16","5 187,63 ₽","518 763,00 ₽",,,,0,,,,,
,,,,130,"59,66","5 145,29 ₽","668 887,70 ₽",,,,0,,,,,
 ,Светильник-беспроводная зарядка,"Материал: пластик
Размер: 255*115 см
Упаковка:  заводская коробка
Примечание от фабрики: Полноцветный RGB, Различные световые эффекты,Быстрая зарядка 15 Вт, сенсорный переключатель, Персонализированный DIY, Простота в эксплуатации", Дизайн: есть возможность нанести логотип,70,"55,26","4 833,46 ₽","338 342,20 ₽",55-60,,,0,,12 500,10,20-22,
,,,,100,"54,71","4 786,18 ₽","478 618,00 ₽",,,,0,,,,,
,,,,130,"54,21","4 743,84 ₽","616 699,20 ₽",,,,0,,,,,
 ,Блокнот,"Материал: PU, бумага
Размер: А5
Упаковка:  OPP пакет
Примечание от фабрики: выбор цвета из наличия, внутри фабричные линованные страницы, 80 листов", Дизайн: тиснение (обычное или с фольгой),70,"4,12","350,00 ₽","24 500,00 ₽",45-50,,,0,,9 800,4,14-16,
,,,,100,"3,89","331,00 ₽","33 100,00 ₽",,,,0,,,,,
,,,,130,"3,71","315,00 ₽","40 950,00 ₽",,,,0,,,,,
,Зарядная станция,"Материал: Пластик  
Размер: 7,5*7,5*7,5 см 
Упаковка:  Картонная коробка 
Примечание от фабрики: 
Общая мощность 15Вт
Можность зарядки для телефона - 15 Вт
В комплекте идет провод type-c - type-c 
Питание от аккумулятора  
Необходимо оформление декларации соответствия и сертификата соответствия. Общая стоимость - примерно 100.000 р. Не входит в стоимость."," Дизайн: Черный цвет изделия
Лого- цветная печать
Цветной логотип сделать нельзя",70,"29,1","2485,6","173989,9",35-40,,,0,,10 500,5,15-17,
,,,,100,,,,,,,,,,,,
,,,,130,,,,,,,,,,,,
,Очиститель воздуха ,"Материал: Пластик  
Размер: 15,8*15,8*25,8
Упаковка:  Картонная коробка 
Примечание от фабрики: 
Питание - usb type-c
Напряжение - 5В
Материал - пластик 
Объем очистки - 51-150 м³/ч
Длина провода - 1м
Вес нетто одной единицы: 0,93 кг/единица
Необходимо оформление декларации соответствия и сертификата соответствия. Общая стоимость - примерно 100.000 р. Не входит в стоимость."," Дизайн: Черный цвет изделия
Лого- цветная печать
Цветной логотип сделать нельзя",70,"62,5","5414,1","378986,3",45-50,,,0,35-40,5 600,20,30-32,
,,,,100,"62,5","5406,8",540681,45-50,,,,,,,,
,,,,130,"62,4","5402,9","702374,4",45-50,,,,,,,,
,Увлажнитель воздуха ,"Материал: Пластик  
Размер: 15,8*15,8*25,8
Упаковка:  Картонная коробка 
Примечание от фабрики: 
Питание - usb type-c
Напряжение - 5В
Материал - пластик 
Объем очистки - 51-150 м³/ч
Длина провода - 1м
Вес нетто одной единицы: 0,93 кг/единица
Необходимо оформление декларации соответствия и сертификата соответствия. Общая стоимость - примерно 100.000 р. Не входит в стоимость.","Дизайн: Черный цвет изделия
Лого- лазерная гравировка, серым цветом, на месте логотипа фабрики 
Цветной логотип сделать нельзя",70,"83,1","7358,2","515071,2",45-50,,,0,35-40,16 250,20,30-32,
,,,,100,"83,1","7350,9",735087,45-50,,,,,,,,
,,,,130,"83,0","7347,0","955103,5",45-50,,,,,,,,
,Зарядная станция,"Материал: пластик
Размер: 181*17.6*140мм
Упаковка: заводская коробка 
Цвет: чёрный, белый
Примечание от фабрики: 
15 Вт, TYPE-C
Необходимо оформление декларации соответствия и сертификата соответствия. Общая стоимость - примерно 100.000 р. Не входит в стоимость."," Дизайн: лазерная гравировка, место лого см. в доп.фото",70,"26,4","2241,6",156912,35-40,,,0,,8 600,5,15-17,
,,,,100,,,,,,,,,,,,
,,,,130,,,,,,,,,,,,
,Зарядная станция 4 в 1,"Материал: пластик
Размер: 115x72x137 мм
Упаковка: заводская коробка 
Цвет: чёрный, белый
Примечание от фабрики: 
15 Вт, 3А, 9В, TYPE-C
Необходимо оформление декларации соответствия и сертификата соответствия. Общая стоимость - примерно 100.000 р. Не входит в стоимость."," Дизайн: лазерная гравировка, место лого см. в доп.фото",70,"27,2","2307,0","161490,7",35-40,,,0,,8 600,5,15-17,
,,,,100,,,,,,,,,,,,
,,,,130,,,,,,,,,,,,
,Увлажнитель воздуха,"Материал: пластик
Размер: 7,8 х 7,8 х 12,8 см
Цвет: стоковый, фабричный
Примечание от фабрики: 

Необходимо оформление декларации соответствия и сертификата соответствия. Общая стоимость - примерно 100.000 р. Не входит в стоимость.","Дизайн:  бирка по индивидуальному дизайну 
",70,"17,1","1539,6",107772,60-70,,,0,35-40,24 100,25,35-37,
,,,,100,,,,,,,,,,,,
,,,,130,,,,,,,,,,,,
