 ,Косметичка,"Материал: ПУ
Размер: 18,5*10*7 см
Упаковка: заводская упаковка
", Дизайн: шелкография,1500,"2,2","220,3",55-60 кд,,,,"11 000,00","10-12 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"2,07","207,72",55-60 кд,,,,,,,,
,,,,5000,"2,01","202,15",60-65 кд,,,,,,,,
 ,Косметичка с шнурком,"Материал: силикон
Размер: 20*12*8 см
Упаковка: заводская упаковка
", Дизайн: цв печать,1500,"9,0","902,7",65-70 кд,,,,"31 500,00","13-15 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/801568699862.html,
,,,,3000,"8,71","873,94",70-75 кд,,,,,,,,
,,,,5000,"8,43","675,2",75-80 кд,,,,,,,,
 ,Набор кистей для макияжа,"Материал: искусственное волокно, пластик
Размер: 14,7*5,5*1,7 см
Упаковка: заводская упаковка
", Дизайн: цв печать,1500,"3,7","370,6",65-70 кд,,,,"19 500,00","13-15 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"3,64","361,78",65-70 кд,,,,,,,,
,,,,5000,"3,58","356,04",70-75 кд,,,,,,,,
 ,Набор кистей для макияжа,"Материал: искусственное волокно, пластик
Примерный размер: 15*7 см
Упаковка: заводская упаковка"," Дизайн: нет возможности кастомизировать, сток",1500,"2,8","281,9",45-50 кд,,,,"образец качества:

2500 руб","10-12 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/814597172320.html,
,,,,3000,"2,69","272,81",45-50 кд,,,,,,,,
,,,,5000,"2,69","238,59",45-50 кд,,,,,,,,
 ,Попсокет MagSafe,"Материал: ТПУ+АБС
Размер: 58*40*9 мм
Упаковка: заводская упаковка
17 магнитов

", Дизайн:  цв печать,1500,"2,3","227,2",55-50 кд,,,,"10 500,00","10-12 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"2,31","226,72",55-50 кд,,,,,,,,
,,,,5000,"2,31","226,52",60-65 кд,,,,,,,,
 ,Попсокет-держатель для телефона,"Материал: цинковый сплав
Размер: 71*41*3,5 мм
Упаковка: заводская упаковка


"," Дизайн: шелкография
",1500,"2,3","223,8",45-50 кд,,,,"13 500,00","8-10 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"2,22","220,56",45-50 кд,,,,,,,,
,,,,5000,"2,19","217,67",50-55 кд,,,,,,,,
 ,Чехол для телефона с игрой,"Материал: пластик
Размер: Подходит для iPhone 12,13,14,15
Упаковка: заводская упаковка


"," Дизайн: нет возможности кастомизировать
",1500,"9,4","929,1",50-55 кд,,,,"образец качества:

3500 руб","5-7 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"9,39","928,62",55-60 кд,,,,,,,,
,,,,5000,"9,38","928,42",60-65 кд,,,,,,,,
 ,Стакан,"Материал: пластик
Размер: 25*10,5 см
Объём: 800 мл
Упаковка: заводская упаковка


"," Дизайн: цв печать
",1500,"3,2","323,0",65-70 кд,,,,"25 100,00","15-17 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"3,18","322,43",70-75 кд,,,,,,,,
,,,,5000,"3,18","322,22",75-80 кд,,,,,,,,
 ,Стакан,"Материал: пластик
Объём: 480 мл
Упаковка: заводская упаковка


"," Дизайн: цв печать
",1500,"5,7","587,0",65-70 кд,,,,"15 000,00","10-13 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"5,72","586,43",70-75 кд,,,,,,,,
,,,,5000,"5,72","586,22",75-80 кд,,,,,,,,
 ,Стакан,"Материал: силикон, пластик
Объём: 450 мл
Упаковка: заводская упаковка


"," Дизайн: печать
",1500,"5,6","558,4",55-60 кд,,,,"14 000,00","10-13 кд фото и видео

12-14 кд доставка в Мск",,,
,,,,3000,"5,58","557,78",60-65 кд,,,,,,,,
,,,,5000,"5,58","557,55",65-70 кд,,,,,,,,
 ,брелок,"Материал: пвх, металл.
Размер: 3*3*2 см
Упаковка: OPP-упаковка для каждого брелока (учтена в стоимости).
Примечание от фабрики: брелоки из пвх с метталическим креплением, фабрика сможет сделать абсолютно любой дизайн по макетам. В брелок входит: кольцо, цепь, подвеска с лого, подвеска с птичкой, подвеска со стаканчиком. В цену образца включено открытие форм на все 3 подвесы + цена самого брелока. ", Дизайн: логотип компании по макету (учтен в стоимости),1500,"0,8","80,8",55-65 кд,,,,"14 900,00",10-12 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/646398171255.html?spm=a26352.b28411319.offerlist.94.76531e62YxDdn3&cosite=-&tracelog=p4p&_p_isad=1&clickid=5a5acdd3f68b4ffea5c018561079ca7e&sessionid=9f71ec79a776c16efd3ffc45ee696207,
,,,,3000,"0,81","80,26",55-65 кд,,,,,,,,
,,,,5000,"0,81","72,26",55-65 кд,,,,,,,,
 ,"сумка-авоська для телефона (цена примерная, точная после предоставления макетов)","Материал: хлопок
Размер: примерно 40*25 см
Упаковка: OPP-пакетик для каждого изделия (учтен в стоимости).
Примечание от фабрики: фабрика готова изготовить сумочку по примеру с фото, регулируемая резинка в верхней части изделия, пластмассовый фиксатор для регулировки степени открытости сумочки. В наличии есть много цветов.", Дизайн: по фото-рефернсу ,1500,"5,4","532,5",49-59 кд,,,,"11 200,00",10-12 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/666630757661.html,
,,,,3000,"5,28","526,24",49-59 кд,,,,,,,по ссылке обычные авоськи,
,,,,5000,"5,22","520,32",49-59 кд,,,,,,,,
 ,"ремешок через плечо для телефона (цена примерная, точная после предоставления макетов)","Материал: трикотаж
Размер: примерно 60 см.
Упаковка: OPP-упаковка для каждого обвеса (учтена в стоимости).
Примечание от фабрики: смогут изготовить ремешок по примеру с фото, в стоимость включены все крючки с фото +карабины, смогут урегулировать ширину, длину, размеры петелек, не включен пвх-логотип. Примеры изготовления, материал прикрепляю в доп фото. ", Дизайн: по фото-референсу,1500,"1,8","176,4",47-57 кд,,,,"10 500,00",7-10 кд - фото и видео; 12-14 кд - доставка в Мск,,"общаемся в вичате, делали по фото-рефу",
,,,,3000,"1,75","173,03",47-57 кд,,,,,,,,
,,,,5000,"1,72","169,96",47-57 кд,,,,,,,,
 ,сумочка-обвес,"Материал: нейлон
Размер: 21*22 см
Упаковка: OPP-упаковка для каждого обвеса (учтена в стоимости).
Примечание от фабрики: смогут выкрасить в любой необходимый цвет, добавить лого комнании", Дизайн: нанесение лого компании,1500,"4,6","446,9",47-57 кд,,,,"8 000,00",10-12 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/777732771897.html,
,,,,3000,"4,41","432,06",52-62 кд,,,,,,,,
,,,,5000,"4,26","417,6",57-67 кд,,,,,,,,
 ,обвес на кружку ,"Материал: пластик, пвх, металл.
Размер: 14*19*3 см.
Упаковка:  OPP-упаковка для каждого набора (включено в стоимость). Весь набор разместят в один пакетик.
Примечание от фабрики: у фабрики есть в наличии многое в стоке:  цветок для трубочки из пвх, бабочка, цепь, кисточка. Могут изготовить подвесу пвх с лого, пластиковое дно с лого. В стоимость тиража и образца включено: открытие формы для подвесы из пвх с лого, открытие формы для пластикового дна с лого.", Дизайн: по фото-референсу,1500,"4,6","456,6",57-67 кд,,,,"30 900,00",14-16 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/823599609643.html,
,,,,3000,"4,41","441,75",57-67 кд,,,,,,,,
,,,,5000,"4,26","427,29",57-67 кд,,,,,,,,
 ,обвес на кружку-ручка,"Материал: пвх, силикон
Размер: примерно 14 см.
Упаковка:  OPP-упаковка  (включено в стоимость). 
Примечание от фабрики: есть в наличии ", Дизайн: возможно нанести лого на силиконовую часть,1500,"3,6","351,0",44-54 кд,,,,"9 950,00",14-16 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/802929954321.html,
,,,,3000,"3,42","336,18",44-54 кд,,,,,,,,
,,,,5000,"3,27","321,72",44-54 кд,,,,,,,,
 ,термокружка,"Материал: нержавеющая сталь.
Размер: 23*6,5 см
Упаковка: картонная коробка для каждого термоса (учтена в стоимости).
Примечание от фабрики: термос с нанесением логотипа компании, удобен для того, чтобы брать с собой в дорогу, на работу или на учебу, может легко поместиться в рюкзак или сумку, крышка плотно прилегает к основанию кружки, что помогает избежать протекания жидкости.", Дизайн: логотип компании по макету (учтен в стоимости),1500,"7,1","712,0",45-55 кд,,,,"6 000,00",7-10 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/723000920543.html?spm=a21lca.1688_web_im.0.0,
,,,,3000,"7,06","711,4",45-55 кд,,,,,,,,
,,,,5000,"7,02","708,32",45-55 кд,,,,,,,,
 ,термокружка,"Материал: нержавеющая сталь.
Размер: 11,5*6 см, 320 мл
Упаковка: картонная коробка для каждого термоса (учтена в стоимости).
Примечание от фабрики: термос с нанесением логотипа компании, удобен для того, чтобы брать с собой в дорогу, на работу или на учебу, может легко поместиться в рюкзак или сумку, крышка плотно прилегает к основанию кружки, что помогает избежать протекания жидкости.", Дизайн: логотип компании  (учтен в стоимости),1500,"6,0","604,6",47-57 кд,,,,"8 900,00",10-12 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/713226425887.html,
,,,,3000,"5,97","604,04",47-57 кд,,,,,,,,
,,,,5000,"5,59","566,81",47-57 кд,,,,,,,,
 ,термокружка,"Материал: нержавеющая сталь.
Размер: 500 мл
Упаковка: картонная коробка для каждого термоса (учтена в стоимости).
Примечание от фабрики: термос с нанесением логотипа компании, удобен для того, чтобы брать с собой в дорогу, на работу или на учебу, может легко поместиться в рюкзак или сумку, крышка плотно прилегает к основанию кружки, что помогает избежать протекания жидкости.", Дизайн: логотип компании  (учтен в стоимости),1500,"4,7","459,1",47-57 кд,,,,"8 500,00",8-10 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/837117880814.html,
,,,,3000,"4,71","458,49",47-57 кд,,,,,,,,
,,,,5000,"4,71","458,26",47-57 кд,,,,,,,,
,Сумка-шоппер,Материал: хлопок Размер: 40*34 Упаковка: OPP-пакетик (учтена в стоимости). Примечание от фабрики: можно нанести лого полноцветной печатью (учтено в стоимости)., Дизайн: логотип компании  (учтен в стоимости),1500,"3,17","322,65",57-67 кд,,,,"5 800,00",8-10 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/680194868562.html?spm=a26352.b28411319.offerlist.21.51201e62dVbBv6,
,,,,3000,"3,17","322,08",57-67 кд,,,,,,,,
,,,,5000,"3,17","321,86",57-67 кд,,,,,,,,
,Сумка-шоппер,Материал: пвх  Размер: 28*28*9 см Упаковка: OPP-пакетик (учтена в стоимости). Примечание от фабрики: можно нанести лого полноцветной печатью (учтено в стоимости)., Дизайн: логотип компании  (учтен в стоимости),1500,"5,09","513,33",57-67 кд,,,,"8 300,00",8-10 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/613010388554.html?spm=a26352.b28411319.offerlist.12.766b1e62SYHQJb,
,,,,3000,5,"504,22",57-67 кд,,,,,,,,
,,,,5000,"4,91","495,45",57-67 кд,,,,,,,,
 ,Сумка-шоппер,"Материал: оксфорд
Размер: 43х40х15 см
Упаковка: прозрачный пакет
Примечание от фабрики: настройка цвета по цветовой карте"," Дизайн: сублимация, шелкография",1500,"2,4","241,9",40-45 кд,,,,"16 500,00",7-10 кд - фото/видео; 12-14 кд- доставка в Москву,,,
,,,,3000,"2,28",227.09,40-45 кд,,,,,,,https://detail.1688.com/offer/592544117800.html?spm=a26352.b28411319.offerlist.11.7cd41e6284Hv9W,
,,,,5000,"2,25","224,02",40-45 кд,,,,,,,,
 ,Сумка-шоппер,"Материал: полиэстер
Размер: 43х40х15 см
Упаковка: прозрачный пакет
Примечание от фабрики: настройка цвета по цветовой карте"," Дизайн: сублимация, шелкография",1500,"2,2","223,1",40-45 кд,,,,"16 500,00",7-10 кд - фото/видео; 12-14 кд- доставка в Москву,,https://detail.1688.com/offer/592544117800.html?spm=a26352.b28411319.offerlist.11.7cd41e6284Hv9W,
,,,,3000,"2,09","208,31",40-45 кд,,,,,,,,
,,,,5000,"2,06","205,24",40-45 кд,,,,,,,,
,бутылка ,"Материал: пластик
Размер: 480 мл
Упаковка: заводская упаковка
Примечание от фабрики: бутылка пластиковая квадратная", Дизайн: возможно нанесение лого,1500,"4,5","452,4",47-57 кд,,,,"11 200,00",10-12 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/692234142588.html?spm=a26286.10576602.qn-item.2.1efb2becAfH7YA,
,,,,3000,"4,5","451,8",47-57 кд,,,,,,,,
,,,,5000,"4,5","451,6",47-57 кд,,,,,,,,
,Бутылка,"Материал: PC + PP + ABS
Размер: 20*9 см 850 мл
Упаковка: ОПП пакетик
Цвет: фиолетовый, прозрачный, черный, зеленый", Дизайн: сток (кастом от 5000),1500,"5,5","498,3",30-35 кд,,,,"11 500,00",10-12 кд - фото и видео; 12-14 кд - доставка в Мск,,,
,,,,3000,"5,12","467,1",30-35 кд,,,,,,,https://detail.1688.com/offer/772117916730.html?spm=a26352.23971191.offerlist.37.333b1e62lcGan1,
,,,,5000,"5,12","467,1",30-35 кд,,,,,,,,
,спортивная бутылка,"Материал: PP 

Размер: 24*7,35см, 780 мл
Упаковка: термоусадочная пленка", Дизайн: нанесение лого (включено в стоимость),1500,"5,5","498,3",35-45 кд,,,,"10 000,00",5-7 кд фото/видео 12-14 кд доставка до Москвы,,https://detail.1688.com/offer/700472178357.html?spm=a26352.23971191.offerlist.9.eb471e62WeMaYS,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,3000,"5,12","467,1",30-35 кд,,,,,,,,
,,,,5000,"5,12","467,1",30-35 кд,,,,,,,,
,блокнот с сердечком 80 листов,"Материал: бумага, картон, полиэстер, металл

Размер: 15*21.5 см
Упаковка: заводская упаковка",Дизайн: нанесение лого внутри изделия (включено в стоимость),1500,"4,68","474,07",47-57 кд,,,,"6 000,00",5-7 кд фото/видео 12-14 кд доставка до Москвы,,https://detail.1688.com/offer/759113485066.html,
,,,,3000,"4,67","473,51",47-57 кд,,,,,,,"ссылка на все пушистые изделия одна, брала позиции из эксель документа от фабрики",
,,,,5000,"4,67","473,28",47-57 кд,,,,,,,,
,блокнот с мороженым 80 листов,"Материал: бумага, картон, полиэстер, металл

Размер: 15*21.5 см
Упаковка: заводская упаковка",Дизайн: нанесение лого внутри изделия (включено в стоимость),1500,"4,44","451,3",47-57 кд,,,,"6 000,00",5-7 кд фото/видео 12-14 кд доставка до Москвы,,,
,,,,3000,"4,44","450,73",47-57 кд,,,,,,,,
,,,,5000,"4,43","450,51",47-57 кд,,,,,,,,
,блокнот с пайетками 80 листов,"Материал: бумага, картон, пластик, металл

Размер: 15*21.5 см
Упаковка: заводская упаковка",Дизайн: нанесение лого внутри изделия (включено в стоимость),1500,"4,15","422,84",47-57 кд,,,,"6 000,00",5-7 кд фото/видео 12-14 кд доставка до Москвы,,,
,,,,3000,"4,14","422,27",47-57 кд,,,,,,,,
,,,,5000,"4,14","422,04",47-57 кд,,,,,,,,
,блокнот с котиками 80 листов,"Материал: бумага, картон, полиэстер, металл

Размер: 15*21.5 см
Упаковка: заводская упаковка",Дизайн: нанесение лого внутри изделия (включено в стоимость),1500,"4,59","465,53",47-57 кд,,,,"6 000,00",5-7 кд фото/видео 12-14 кд доставка до Москвы,,,
,,,,3000,"4,58","464,97",47-57 кд,,,,,,,,
,,,,5000,"4,58","464,74",47-57 кд,,,,,,,,
,блокнот с сердечком перламутр 80 листов,"Материал: бумага, картон, полиэстер, металл

Размер: 15*21.5 см
Упаковка: заводская упаковка",Дизайн: нанесение лого внутри изделия (включено в стоимость),1500,"4,44","451,3",47-57 кд,,,,"6 000,00",5-7 кд фото/видео 12-14 кд доставка до Москвы,,,
,,,,3000,"4,44","450,73",47-57 кд,,,,,,,,
,,,,5000,"4,43","450,51",47-57 кд,,,,,,,,
 ,"Накладки на пуговицы(стоимость примерная, точная после предоставления макета)","Материал: медный сплав, смола
Примерный размер: 15 мм
Упаковка: фабричная упаковка
Примечание от фабрики: для более сложных форм необходимо показать визуал фабрике, чтобы определить, есть ли возможность изготовить или нет. Для более точной цены необходим макет.", Дизайн: изготовление по макету клиента,1500,"2,7","280,3",60-65 кд,,,,"11 000,00",14-16 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/811202144108.html,
,,,,3000,"2,64","271,53",,,,,,,,,
,,,,5000,"2,56","263,09",,,,,,,,,
 ,Накладки на пуговицы,"Материал: медный сплав, смола
Размер: 15 мм
Упаковка: заводская упаковка", Дизайн: сток,1500,"2,2","225,6",45-50 кд,,,,"3 500,00","3-5 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/790251400943.html?spm=a26352.13672862.offerlist.256.14191e62urvJBH,
,,,,3000,"2,06","212,74",,,,,,,,,
,,,,5000,"1,94","200,63",,,,,,,,,
 ,Накладки на пуговицы,"Материал: медный сплав, смола
Размер: 15 мм
Упаковка: заводская упаковка", Дизайн: сток,1500,"2,1","219,8",45-50 кд,,,,"3 500,00","3-5 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/790150990750.html,
,,,,3000,2,"207,12",,,,,,,,,
,,,,5000,"1,89","195,18",,,,,,,,,
 ,Накладки на пуговицы,"Материал: медный сплав
Размер: 15 мм
Упаковка: заводская упаковка", Дизайн: сток,1500,"1,6","167,6",45-50 кд,,,,"3 000,00","3-5 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/694116988664.html,
,,,,3000,"1,54","161,27",,,,,,,,,
,,,,5000,"1,45","152,35",,,,,,,,,
 ,Накладки на пуговицы,"Материал: медь
Размер: 15 мм
Упаковка: заводская упаковка", Дизайн: сток,1500,"1,8","188,2",45-50 кд,,,,"2 500,00","3-5 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/735215032200.html?spm=a262eq.8274978.im_chat_detail.pc_zdfw_v1,
,,,,3000,"1,76","182,06",,,,,,,,,
,,,,5000,"1,71","176,33",,,,,,,,,
 ,"Браслетик в стиле Азбука морзе
(стоимость примерная, точная после предоставления макета)","Материал: нержавеющая сталь, нейлон
Размер: размер регулируется, диаметр в среднем 6-10 см
Упаковка: заводская упаковка
Можно поменять порядок бусин под свое слово, браслет регулируется. На стандартной фабричной картонке примерно 6*7см. Надпись на английском можно заменить на свою в один цвет.", Дизайн: порядок бусин по макету клиента,1000,"1,9","188,2",55-60 кд,,,,"22 000,00","15-17 кд фото и видео

12-14 кд доставка в Мск",,https://detail.1688.com/offer/756946972637.html?spm=a26352.b28411319.offerlist.37.59861e62duysIl,
,,,,2000,"1,74","176,19",,,,,,,,,
 ,"Ремувка-брелок
(указана примерная стоимость, точная после предоставления макета)","Материал: пвх
Размер ремешка: 10*1,5 см
Размер пвх фигурки: 3*3 см
Размер джиббитса: 1,5*1,5 см
Упаковка:  заводская упаковка
Примечание от фабрики: в комплект входит ремешок с пятью отверстиями, 5 джибитсов по макету клиента, дополнительно пвх фигурка по макету клиента, металлическая фурнитура: колечко сток+карабин сток

Указана стоимость за один дизайн в тираже.
В стоимость образца входит открытие форм и изготовление образца.", Дизайн: изготовление по макету клиента,2000,"5,3","537,7",50-55 кд,,,,"133 000,00",15-17 кд - фото и видео; 12-14 кд - доставка в Мск,,"вичат
но в качестве референса брала здесь
https://detail.1688.com/offer/798079977401.html?spm=a26352.b28411319.offerlist.6.221c1e623Duk34",
 ,"Ремувка-брелок
(указана примерная стоимость, точная после предоставления макета)","Материал: пвх
Размер ремешка: 10*1,5 см
Размер джиббитса: 1,5*1,5 см
Упаковка:  заводская упаковка
Примечание от фабрики: в комплект входит ремешок с пятью отверстиями, 5 джибитсов по макету клиента, металлическая фурнитура: колечко сток+карабин сток

Указана стоимость за один дизайн в тираже.
В стоимость образца входит открытие форм и изготовление образца.", Дизайн: изготовление по макету клиента,2000,"4,0","406,0",50-55 кд,,,,"104 000,00",15-17 кд - фото и видео; 12-14 кд - доставка в Мск,,"вичат
но в качестве референса брала здесь
https://detail.1688.com/offer/798079977401.html?spm=a26352.b28411319.offerlist.6.221c1e623Duk34",
,"Ремувка-брелок
(указана примерная стоимость, точная после предоставления макета)","Материал: пвх
Размер ремешка: 10*1,5 см
Упаковка:  заводская упаковка
Примечание от фабрики: в комплект входит ремешок с пятью отверстиями (можно сделать другое количество отверстий), металлическая фурнитура: колечко сток+карабин сток

Указана стоимость за один дизайн в тираже.
В стоимость образца входит открытие формы и изготовление образца.", Дизайн: изготовление по макету клиента,2000,"1,5","154,2",45-50 кд,,,,"31 000,00",11-13 кд - фото и видео; 12-14 кд - доставка в Мск,,"вичат
но в качестве референса брала здесь
https://detail.1688.com/offer/798079977401.html?spm=a26352.b28411319.offerlist.6.221c1e623Duk34",
,"джибитсы
(указана примерная стоимость, точная после предоставления макета)","Материал: пвх
Размер джибитса: 1,5*1,5 см
Упаковка:  заводская упаковка


Указана стоимость за один дизайн в тираже.
В стоимость образца входит открытие одной формы и изготовление образца.", Дизайн: изготовление по макету клиента,2000,"0,5","53,9",45-50 кд,,,,"16 500,00",11-13 кд - фото и видео; 12-14 кд - доставка в Мск,,"вичат
но в качестве референса брала здесь
https://detail.1688.com/offer/798079977401.html?spm=a26352.b28411319.offerlist.6.221c1e623Duk34",
 ,джибитсы,"Материал: пвх
Размер: приблизительно 3*3 см, могут подстроить размер под запрос.
Упаковка:  OPP-упаковка (учтена в стоимости).
Примечание от фабрики: джибитсы под индивидуальный запрос, минимальный тираж 8000 шт одного вида - меньше фабрика не изготовливает из-за того, что страдает качество исполнения картинки, хотят, чтобы получилось четкое изображение и ровная форма. В стоимость тиража и образца включена стоимость открытия 1 формы для изготовления джибитса. ", Дизайн: форма по макету или фото-референсу (учтен в стоимости),8000,"0,6","60,5",51-61 кд,,,,"20 000,00",13-15 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/675155861380.html,
 ,пенал для джибитсов,"Материал: силикон
Размер: 18*5*7 см
Упаковка:  OPP-упаковка (учтена в стоимости).
Примечание от фабрики: яркие пеналы из пвх, в комплекте джибитсы, джибитсы можно снимать и менять", Дизайн: лого многоцветное печатью,2000,"3,0","303,7",52-62 кд,,,,"16 700,00", 5-8 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/748184398314.html?spm=a26352.b28411319.offerlist.5.1e6d1e62r4xcJ2,
,пенал для джибитсов,"Материал: силикон
Размер: 19*7*5,4 см
Упаковка:  OPP-упаковка (учтена в стоимости).
Примечание от фабрики: пеналы пастельных цветов, в комплекте джибитсы, джибитсы можно снимать и менять", Дизайн: лого многоцветное печатью,2000,"2,7","274,8",44-65 кд,,,,"7 900,00", 7-9 кд - фото и видео; 12-14 кд - доставка в Мск,,https://detail.1688.com/offer/809436235631.html,
 ,сумочка,"Материал: ЭВА (этиленвинилацетат)
Размер: 48*24*36 см
Упаковка: индивидуальный пакет (учтен в стоимости).
Примечание от фабрики: яркие сумочки, в комплекте джибитсы, джибитсы можно снимать и менять",Дизайн: логотип компании (учтен в стоимости),2000,"9,0","885,9",40-50 кд,,,,"2 485,95",19-24кд,,,https://detail.1688.com/offer/815897591654.html?spm=a26352.b28411319.offerlist.114.6b3e1e62m9icBn
