,"Менеджер: Титова Алина
Email: alina@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
 ,увлажнитель-арома 2,"Материал: АБС, PP, электрогнные компоненты
Размер:  17,1*7,5*10,1 см
Емкость резервуара для воды: 180 мл
Упаковка: заводская коробка
Примечание от фабрики: рабочий ток: ≤900 мА, номинальная мощность: ≤4.5W, объем распыления: 15-20 мл/ч, зарядка от Type-C, 7 режимов подсветки


Требутся ДС и СС , примерная стоимость 100000 руб, не включено в стоимость.", Дизайн: изменение цвета на шоколадный + нанесение лого шелкографией в 1 цвет,10000,"12,88","1 419,26",70-75 ,"14,2","1 575,11",60-65 ,"60 500,00",7,17-19,
 ,увлажнитель-арома 3,"Материал: PP, электронные компоненты
Размер: 10,4*15*15* см
Емкость резервуара для воды: 800 мл 
Упаковка: заводская коробка
Примечание от фабрики: рабочий ток: 850-900мА, мощность:<5 Вт/13 Вт, режим распыления: непрерывное распыление/временное распыление, 7 режимов подсветки, зарядка от Type-C, есть пульт управления



Требутся ДС и СС , примерная стоимость 100000 руб, не включено в стоимость.", Дизайн: изменение цвета на шоколадный + нанесение лого шелкографией в 1 цвет,10000,"13,95","1 537,68",75-80,"15,4","1 706,16",65-70,"67 000,00",7,17-19,
 ,увлажнитель-арома 4,"Материал: АБС, PP, электронные компоненты
Размер: 17*7,8*7,8*см
Емкость резервуара для воды: 280мл 
Упаковка: заводская коробка
Примечание от фабрики: мощность: 3 Вт, рабочее напряжение: 5 В/1 А



Требутся ДС и СС , примерная стоимость 100000 руб, не включено в стоимость.", Дизайн: изменение цвета на шоколадный + нанесение лого шелкографией в 1 цвет,10000,"13,17","1 458,25",65-70,"14,7","1 637,97",55-60,"68 000,00",12,22-24,
 ,"Коробка для увлажнителя
(указана примерная цена, точная после предоставления точного макета)","Материал: картон
Размер: размеры  116*116*110 мм, 132*132*108 мм, 202*170*300 мм
Упаковка: заводская упаковка", Дизайн: изготовление по макету клиента,10000,"9,99","1 076,66",55-60,"10,6","1 144,06",45-50,"12 000,00",9,19-21,
,"Коробка для увлажнителя
(указана примерная цена, точная после предоставления точного макета)","Материал: листовой картон
Размер: 17см*7,8см*7,8*см
Упаковка: заводская упаковка"," Дизайн: изготовление по макету клиента, нанесение возможно: тиснением, цифровой печатью, уф-пенчатью",10000,"2,82","313,49",50-55,,,,"9 000,00",5,15-17,
 ,Бутылка с ароматическим кольцом,"Материал: тритан
Размер:  8*8*26 см
Объём: 650 мл
Упаковка: заводская коробка
Примечание от фабрики: капсулы со вкусом кофе, карамель можно настроить в данном тираже", Дизайн: выкрас в шоколадный оттенок + логотип шелкография 1 цвет,10000,"9,5","1034,7",65-70,"10,7","1 173,30",55-60,"34050

Образец качества
4200",7,17-19,
 ,"Косметичка

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 21*12*12 см
Упаковка: опп-пакет
Цвет: из палитры (доп фото)", Дизайн: бирка с лого клиента,10000,"6,8","745,3",80-85,"7,8","853,7",70-75,21 500,15,25-27,
 ,"Косметичка

(альтернативный способ доставки)

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 21*12*12 см
Упаковка: опп-пакет
Цвет: из палитры (доп фото)", Дизайн: бирка с лого клиента,10000,"6,3","683,3",80-85,"6,8","745,25",70-75,21 500,15,25-27,
 ,"Косметичка

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 18*9*7 см
Упаковка: заводская упаковка
"," Дизайн: есть возможность выкрас в другой цвет, бирка с лого клиента",10000,"3,2","347,2",70-75,"3,5","378,9",60-65,20 000,15,25-27,
 ,"Косметичка

(альтернативный способ доставки)

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 18*9*7 см
Упаковка: заводская упаковка
"," Дизайн: есть возможность выкрас в другой цвет, бирка с лого клиента",10000,"2,9","315,5",70-75,"3,2","344,3",60-65,20 000,15,25-27,
 ,"Косметичка

Стоимость примерная, точная после предоставления макета","Материал: плюш, полиэстер
Размер:  18*9*10 см
Упаковка: заводская упаковка


"," Дизайн: есть возможность выкрас в другой цвет, бирка с лого клиента",10000,"3,1","343,3",75-80,"3,5","379,0",65-70,27 000,15,25-27,
 ,"Косметичка

(альтернативный способ доставки)

Стоимость примерная, точная после предоставления макета","Материал: плюш, полиэстер
Размер:  18*9*10 см
Упаковка: заводская упаковка
"," Дизайн: есть возможность выкрас в другой цвет, бирка с лого клиента",10000,"3,0","327,0",75-80,"3,3","359,5",65-70,27 000,15,25-27,
 ,"Косметичка

Стоимость примерная, точная после предоставления макета","Материал: плюш, полиэстер
Размер:  18*10*10 см
Упаковка: заводская упаковка


"," Дизайн: есть возможность выкрас в другой цвет, бирка с лого клиента",10000,"3,1","336,4",75-80,"3,4","372,1",65-70,15 000,15,25-27,
 ,"Косметичка

(альтернативный способ доставки)

Стоимость примерная, точная после предоставления макета","Материал: плюш, полиэстер
Размер:  18*10*10 см
Упаковка: заводская упаковка


"," Дизайн: есть возможность выкрас в другой цвет, бирка с лого клиента",10000,"2,9","320,1",75-80,"3,2","352,6",65-70,15 000,15,25-27,
Увлажнители альтернативный способ доставки,,,,,,,,,,,,,,
 ,увлажнитель-арома 1 ,"Материал:  ABS, PP, AS, электронные компоненты
Размер:   15*9,5*9,5*см
Емкость резервуара для воды: 120 мл
Упаковка: заводская коробка
Примечание от фабрики: рабочий ток: ≤850 мА, номинальная мощность: ≤4.5W, объем распыления: около 10-15 мл/ч, для использования: добавить воду в резервуар для воды (не превышайте макс линию уровня воды), добавить нужное количество эфирных масел, зарядка от Type-C

", Дизайн: выкрас в шоколадный оттенок+нанесение лого шелкографией в 1 цвет,10000,"11,32","1 225,48",57-62,"13,1","1 433,61",50-55,"67 000,00",9,19-21,
 ,увлажнитель-арома 2,"Материал: АБС, PP, электрогнные компоненты
Размер:  17,1*7,5*10,1 см
Емкость резервуара для воды: 180 мл
Упаковка: заводская коробка
Примечание от фабрики: рабочий ток: ≤900 мА, номинальная мощность: ≤4.5W, объем распыления: 15-20 мл/ч, зарядка от Type-C, 7 режимов подсветки


", Дизайн: изменение цвета на шоколадный + нанесение лого шелкографией в 1 цвет,10000,"10,91","1 190,07",62-67,"13,3","1 465,10",55-60,"60 500,00",7,17-19,
 ,увлажнитель-арома 3,"Материал: PP, электронные компоненты
Размер: 10,4*15*15* см
Емкость резервуара для воды: 800 мл 
Упаковка: заводская коробка
Примечание от фабрики: рабочий ток: 850-900мА, мощность:<5 Вт/13 Вт, режим распыления: непрерывное распыление/временное распыление, 7 режимов подсветки, зарядка от Type-C, есть пульт управления



", Дизайн: изменение цвета на шоколадный + нанесение лого шелкографией в 1 цвет,10000,"11,83","1 289,90",67-72,"14,4","1 587,23",60-65,"67 000,00",7,17-19,
 ,увлажнитель-арома 4,"Материал: АБС, PP, электронные компоненты
Размер: 17*7,8*7,8*см
Емкость резервуара для воды: 280мл 
Упаковка: заводская коробка
Примечание от фабрики: мощность: 3 Вт, рабочее напряжение: 5 В/1 А



", Дизайн: изменение цвета на шоколадный + нанесение лого шелкографией в 1 цвет,10000,"10,9","1 193,96",62-67,"13,6","1 511,11",55-60,"68 000,00",12,22-24,
 ,увлажнитель-арома 1,"Материал:  ABS, PP, AS, электронные компоненты
Размер:   15*9,5*9,5*см
Емкость резервуара для воды: 120 мл
Упаковка: заводская коробка
Примечание от фабрики: рабочий ток: ≤850 мА, номинальная мощность: ≤4.5W, объем распыления: около 10-15 мл/ч, для использования: добавить воду в резервуар для воды (не превышайте макс линию уровня воды), добавить нужное количество эфирных масел, зарядка от Type-C

", Дизайн: сток,10000,"8,96","970,91",65-70,"10,4","1 142,32",55-60,"67 000,00",9,19-21,
 ,увлажнитель-арома 2,"Материал: АБС, PP, электрогнные компоненты
Размер:  17,1*7,5*10,1 см
Емкость резервуара для воды: 180 мл
Упаковка: заводская коробка
Примечание от фабрики: рабочий ток: ≤900 мА, номинальная мощность: ≤4.5W, объем распыления: 15-20 мл/ч, зарядка от Type-C, 7 режимов подсветки


", Дизайн: сток,10000,"8,55","934,09",70-75 ,"10,5","1 160,59",60-65 ,"60 500,00",7,17-19,
 ,"Косметичка

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 21*12*12 см
Упаковка: опп-пакет
Цвет: белый"," Дизайн: без бирки, золотая фурнитура, без паттерна внутри",10000,"7,3","791,2",80-85,"8,1","883,1",70-75,9 500,15,25-27,
,,,,17000,"6,8","738,4",,"7,6","827,1",,,,,
 ,"Косметичка

(альтернативный способ доставки)

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 21*12*12 см
Упаковка: опп-пакет
Цвет: белый"," Дизайн: без бирки, золотая фурнитура, без паттерна внутри",10000,"6,8","738,8",75-80,"7,3","791,24",70-75,9 500,15,25-27,
,,,,17000,"6,4","687,6",,"6,8","738,4",,,,,
 ,"Косметичка

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 21*12*12 см
Упаковка: опп-пакет
Цвет: белый"," Дизайн: без бирки, золотая фурнитура, с паттерном внутри",10000,"7,5","818,6",80-85,"8,3","910,4",70-75,9 500,15,25-27,
,,,,17000,"7,0","764,8",,"7,8","853,6",,,,,
 ,"Косметичка

(альтернативный способ доставки)

Стоимость примерная, точная после предоставления макета","Материал: искусственная каракульча
Размер: 21*12*12 см
Упаковка: опп-пакет
Цвет: белый"," Дизайн: без бирки, золотая фурнитура, с паттерном внутри",10000,"7,1","766,1",75-80,"7,5","818,60",70-75,9 500,15,25-27,
,,,,17000,"6,6","714,1",,"7,0","764,8",,,,,
 ,"Косметичка

Стоимость примерная, точная после предоставления макета","Материал: плюш, полиэстер
Размер:  18*10*10 см
Упаковка: заводская упаковка


", Дизайн: белый цвет+паттерн внутри,10000,"2,9","315,4",53-58,"3,2","349,2",43-48,18 000,9,19-21,
,,,,17000,"2,7","291,6",58-63,"2,9","323,6",48-53,,,,
 ,"Косметичка

Стоимость примерная, точная после предоставления макета","Материал: плюш, полиэстер
Размер:  18*10*10 см
Упаковка: заводская упаковка


", Дизайн: белый цвет сток,10000,"2,8","308,8",53-58,"3,1","342,7",43-48,15 000,9,19-21,
,,,,17000,"2,6","285,4",58-63,"2,9","317,4",48-53,,,,
 ,Нагревающаяся кружка,"Материал: подставка для нагревания - пластик ПС, кружка - керамика
Размер: кружка - 7,5*8,3 см, подставка - 16,5*12,5 см
Объём кружки: 260 мл
Упаковка: заводская упаковка
Примечание от фабрики: в набор входит: керамическая кружка+ подставка с нагревательным элементом+беспроводное зарядное устройство (включая USB-кабель) + инструкция по эксплуатации + белая заводская коробка. Обращаю внимание: в стоимость включена только кружка и подставка с подогревом. Чтобы подогреть жидкость, нужно разместить кружку на подставке и нажать кнопку, автоматически кружка нагреваться не будет, так как не имеет специального механизма на дне.

Необходимы ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено.", Дизайн: кружка- сток (есть в наличии 20.000 шт); подставка необходимо выкрашивать под кружку (учтено в стоимости),10000,"9,8","1116,1",55-60,"13,3","1523,5",45-50,7 500,9,19-21,
 ,Нагревающаяся кружка (альтернативный способ доставки),"Материал: подставка для нагревания - пластик ПС, кружка - керамика
Размер: кружка - 7,5*8,3 см, подставка - 16,5*12,5 см
Объём кружки: 260 мл
Упаковка: заводская упаковка
Примечание от фабрики: в набор входит: керамическая кружка+ подставка с нагревательным элементом+беспроводное зарядное устройство (включая USB-кабель) + инструкция по эксплуатации + белая заводская коробка. Обращаю внимание: в стоимость включена только кружка и подставка с подогревом. Чтобы подогреть жидкость, нужно разместить кружку на подставке и нажать кнопку, автоматически кружка нагреваться не будет, так как не имеет специального механизма на дне.

", Дизайн: кружка- сток (есть в наличии 20.000 шт); подставка необходимо выкрашивать под кружку (учтено в стоимости),10000,"8,7","850,0",40-45,"12,2","1387,7",30-35,7 500,9,19-21,
 ,Нагревающаяся кружка (альтернативный способ доставки),"Материал: подставка для нагревания - пластик ПС, кружка - керамика
Размер: кружка - 7,5*8,3 см, подставка - 16,5*12,5 см
Объём кружки: 260 мл
Упаковка: заводская упаковка
Примечание от фабрики: в набор входит: керамическая кружка с крышкой с лого+ подставка с нагревательным элементом+беспроводное зарядное устройство (включая USB-кабель) + инструкция по эксплуатации + белая заводская коробка с лого. Обращаю внимание: в стоимость включена только кружка и подставка с подогревом. Чтобы подогреть жидкость, нужно разместить кружку на подставке и нажать кнопку, автоматически кружка нагреваться не будет, так как не имеет специального механизма на дне.

", Дизайн: кружка +крышка деревянная с лого (нанесение распылением краски)+подставка в коробке (нанесение тампопечать),10000,"8,8","992,6",40-45,"12,3","1400,1",30-35,11 000,9,19-21,
