,,,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,Образец не включен в стоимость тиража,,,
 ,"МФР-ролл

https://sl.aliexpress.ru/p?key=WSSK3Zw",Света Ч,"Материал: пенопрокат EPP
Размер: 45*15 см
Упаковка: индивидуальный пакет-пленка
Особенности:
Ударопрочность и устойчивость к давлению
Без токсинов и запаха
Низкий коэффициент деформации
Экологичность
Легкий вес
Высокая твердость
Основные функции:
Облегчение напряжения фасций
Восстановительный массаж
Поддержка похудения и коррекции фигуры"," Дизайн: выкрас в пантон, нанесение логотипа, шелкография",1300,"6,4","547,8",45-50,4 200,10,20-22,
 ,"МФР-ролл
https://sl.aliexpress.ru/p?key=NSSK3jE",Света Ч,"Материал: пенопрокат EPP
Размер: 45*15 см
Упаковка: индивидуальный пакет-пленка
"," Дизайн: нанесение логотипа, шелкография",1300,"7,5","639,8",42-47,4 200,5,15-17,
 ,"Набор для приготовления матчи

https://sl.aliexpress.ru/p?key=izSK3sE",Катя,"Материал: керамика, бамбук, нержавеющая сталь
Размер: 
Емкость чаши для чая: 400 мл
Количество: 6шт/комплект
Размер чаши для чая: 11,3*6,4 см
Размер чайного венчика: 6,5 х 7 см
Размер чайной кисти: 11*6,5 см
Размер фильтра: 20,5 x 7 см 
Размер чайной ложки: 17,8*2,6 см
Размер ложки: 18,6 см
Упаковка: коробка
", Дизайн: на коробке и на керамике можно нанести индивидуальный логотип,1300,"17,9","1562,8",40-45,17 500,7,17-19,
 ,"Набор для приготовления матчи
https://sl.aliexpress.ru/p?key=QzSK3fU",Катя,"Материал: керамика, бамбук, нержавеющая сталь
Размер: 
Емкость чаши для чая: 400 мл
Количество: 6шт/комплект
Размер чаши для чая: 11,3*6,4 см
Размер чайного венчика: 6,5 х 7 см
Размер чайной кисти: 11*6,5 см
Размер фильтра: 20,5 x 7 см 
Размер чайной ложки: 17,8*2,6 см
Размер ложки: 18,6 см
Упаковка: коробка
", Дизайн: на коробке и на керамике можно нанести индивидуальный логотип,1300,"19,0","1661,0",40-45,17 550,7,17-19,
 ,"Набор для приготовления матчи

https://sl.aliexpress.ru/p?key=LNSK3hV",Катя,"Материал: стекло
Размер: в доп фото
Упаковка: коробка
"," Дизайн: логотип можно нанести только на коробку, шелкографией или тиснением золотом",1300,"25,8","2248,5",40-45,11 650,7,17-19,
 ," Проектор 3в1 из коллекции ""Маленький принц""",Света Ч,"Материал: Нано-мембрана для распыления
LED-подсветка + электронные компоненты
Пластик ABS + PC
Размер: 202 × 122 × 119 мм
Упаковка: индивидуальная коробка
Корпус: 1 шт.
USB-кабель: 1 шт.
Впитывающие ватные полоски: 2 шт.
Инструкция: 1 экз.
Проекционные пленки: 2 шт.
Параметры продукта:
Тип аккумулятора: Литий-ионный аккумулятор 4000 мАч
Напряжение аккумулятора: 3.7 В
Напряжение/ток зарядки: DC 5V / 2A
Время работы:
Полная зарядка: ~4.5 часа
Проекционный свет (отдельно): ~3.2 часа
Непрерывное распыление: ~4 часа
Прерывистое распыление: ~8 часов
Объем резервуара для воды: 1000 мл
Расход воды при распылении: ~50 мл/час"," Дизайн: УФ-печать на проекторе, индивидуальный дизайн коробки",1300,"48,6","4129,9",52-57,9 600,7,17-19,
 ,"Доска Садху

https://sl.aliexpress.ru/p?key=vXSK3VH",Аня,"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,1300,,,,,,10-12,
,,,,,,,,,,,,
 ,"Доска Садху

https://sl.aliexpress.ru/p?key=Y1SK3wT",Аня,"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,1300,,,,,,10-12,
,,,,,,,,,,,,
 ,"Доска Садху

https://sl.aliexpress.ru/p?key=61SK3V8",Катя,такой позиции нет в Китае,,,,,,,,10-12,
,,,,,,,,,,,,
 ,"Микротоковый массажер

https://docs.google.com/spreadsheets/d/1E5XFDhIMfbNKOKGnQlTG-YK8sAJncpBqkKsdDAqe0sU/edit?gid=547489850#gid=547489850",Аня,"Материал: пластик
Размер: 12 х 9 х 4 см
Технические характеристики: 
Ёмкость: 60/180 мАч (старый/новый)
Напряжение: 3.7V
Вес: 6.3 г (Li: 1.3 г)
Зарядка: 5V DC, 2-3 ч (1 ч для 60 мАч)
Выход: 0.1A, 0.4W
Вибрация: 10-333 Гц
Работа: 60 мин (без вибр.) / 48 мин (с вибр.)
Упаковка: сток коробка
Примечание от фабрики: необходимо подтверждение наличия у фабрики", Дизайн: нанесение логотипа,1300,"6,6","560,3",40-45,8 385,7,17-19,
 ,"Подушка для ванны

https://sl.aliexpress.ru/p?key=BryP3bf
https://market.yandex.ru/cc/6wf4bC",Света Л,"Материал: полиэстер, полиэфирное волокно
Размер: 30 х 33 х 8.5 см
Цвет: на выбор из раскладки
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: печать лого, шелкография / термотрансфер",1300,"8,8","751,7",35-40,4 350,5,15-17,
