,"Менеджер: Ким Софья
Email: sofia.k@megamind.ru
Телефон: 
",,,,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,,,,,,,,
,Монета 40 мм,,400 000,"3,3","283,6","4,8","410,5","5,9","503,5",,,,,,,,,,,,
Упаковка вариант 1 (акрил),,,,,,,,,,,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 4 мм
Размер коробки: 150*150*70 мм
Материал коробки: акрил + нанесение",400 000,"6,2","569,8","8,6","791,0","10,4","953,1",90-95,80-85,70-75,18 700 (монета) + 10 200 (коробка),28-30,,,,,,,
,Монета 35 мм,,400 000,"6,4","583,6","8,8","804,7","10,6","966,9",,,,,,,,,,,,
,Монета 40 мм,,400 000,"6,5","597,1","8,9","818,2","10,7","980,4",,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 2 мм
Размер коробки: 150*150*70 мм
Материал коробки: акрил + нанесение",400 000,"6,3","572,0","8,7","794,3","10,5","957,4",90-95,80-85,70-75,18 700 (монета) + 10 200 (коробка),28-30,,,,,,,
,Монета 35 мм,,400 000,"6,3","579,0","8,8","801,3","10,5","964,4",,,,,,,,,,,,
,Монета 40 мм,,400 000,"6,5","597,6","9,0","819,9","10,7",983,,,,,,,,,,,,
Упаковка вариант 2,,,,,,,,,,,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 4 мм
Размер коробки: 100*100*50 мм
Материал коробки: EVA + PS прозрачная крышка + PS черный",400 000,"2,7","247,5","3,4","310,0","3,9","355,8",115-120,105-110,95-100,18 700 (монета) + 11 300 (коробка),25-27,,,,,,,
,Монета 35 мм,,400 000,"2,9","261,2","3,6","323,6","4,1","369,4",,,,,,,,,,,,
,Монета 40 мм,,400 000,"3,0","274,6","3,7","337,1","4,2","382,9",,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 2 мм
Размер коробки: 100*100*50 мм
Материал коробки: EVA + PS прозрачная крышка + PS черный",400 000,"2,6","222,7","3,3","281,8","3,8",325,115-120,105-110,95-100,18 700 (монета) + 11 300 (коробка),25-27,,,,,,,
,Монета 35 мм,,400 000,"2,7","230,8","3,4","289,9","3,9","333,1",,,,,,,,,,,,
,Монета 40 мм,,400 000,"2,8","238,7","3,5","297,7",4,341,,,,,,,,,,,,
Упаковка вариант 3,,,,,,,,,,,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Коробка: прозрачный акрил 
Размер коробки: 80*80*80 мм, толщина акрила 2 мм",400 000,"2,4","219,5","3,1","281,8","3,6","327,4",100-1005,90-95,80-85,18 700 (монета) + 6600 (коробка),25-27,,,,,,,
,Монета 35 мм,,400 000,"2,6","233,2","3,3","295,5","3,8","341,1",,,,,,,,,,,,
,Монета 40 мм,,400 000,"2,7","246,7","3,4","308,9","3,9","354,5",,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 2 мм
Коробка: прозрачный акрил 
Размер коробки: 80*80*80 мм, толщина акрила 2 мм",400 000,"3,2","272,0","4,6","398,9","5,7","491,9",100-1005,90-95,80-85,18 700 (монета) + 6600 (коробка),25-27,,,,,,,
,Монета 35 мм,,400 000,"3,2","275,8","4,7","402,6","5,8","495,6",,,,,,,,,,,,
,Монета 40 мм,,400 000,"3,3","283,6","4,8","410,5","5,9","503,5",,,,,,,,,,,,
Упаковка вариант 4,,,,,,,,,,,,,,,,,,,,,
,Монета 30 мм,"Материал монеты: цинковый сплав 
Толщина: 4 мм
Коробка: акрил ",400 000,"8,9","765,0","10,6","908,6","11,8",1014,100-1005,90-95,80-85,18 700 (монета) + 7000 (коробка),25-27,,,,,,,
,Монета 35 мм,,400 000,"9,1","777,9","10,7","921,6","11,9","1026,9",,,,,,,,,,,,
,Монета 40 мм,,400 000,"9,2","790,6","10,9","934,3","12,1","1039,6",,,,,,,,,,,,
,Монета 30 мм,"Материал монеты: цинковый сплав 
Толщина: 2 мм
Коробка: акрил ",400 000,"8,8","753,9","10,4","897,5","11,7","1002,8",100-1005,90-95,80-85,18 700 (монета) + 7000 (коробка),25-27,,,,,,,
,Монета 35 мм,,400 000,"8,9","762,0","10,5","905,6","11,8","1010,9",,,,,,,,,,,,
,Монета 40 мм,,400 000,"9,0","769,8","10,6","913,5","11,9","1018,8",,,,,,,,,,,,
Фабрика 2,,,,,,,,,,,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 4 мм",400 000,"0,6","54,7","0,8","71,1","0,9","83,1",125-130,115-120,105-110,6500,20-22,,,,,,,
,Монета 35 мм,,400 000,"0,7","64,9","0,9","85,3","1,1","100,4",,,,,,,,,,,,
,Монета 40 мм,,400 000,"1,0","86,6","1,2","111,2","1,4","129,2",,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 2 мм",400 000,"0,6","49,5","0,8","65,0","0,9","76,3",125-130,115-120,105-110,6500,20-22,,,,,,,
,Монета 35 мм,,400 000,"0,7","56,9","0,9","76,3","1,1","90,5",,,,,,,,,,,,
,Монета 40 мм,,400 000,"0,9","75,3","1,2","98,5","1,3","115,6",,,,,,,,,,,,
Упаковка вариант 1 (картон),,,,,,,,,,,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 4 мм
Размер коробки: 150*150*70 мм
Материал коробки: мелованная бумага + EVA + акрил",400 000,"3,3","296,2","4,7","430,4","5,8","528,9",135-140,125-130,115-120,6500 (монета) + 9500 (коробка),28-30,,,,,,,
,Монета 35 мм,,400 000,"3,3","303,1","4,8","437,4","5,9","535,8",,,,,,,,,,,,
,Монета 40 мм,,400 000,"3,5","321,7","5,0","455,9","6,1","554,3",,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 2 мм
Размер коробки: 150*150*70 мм
Материал коробки: мелованная бумага + EVA + акрил",400 000,"3,2","277,7","4,7","404,6","5,8","497,6",135-140,125-130,115-120,6500 (монета) + 9500 (коробка),28-30,,,,,,,
,Монета 35 мм,,400 000,"3,3","282,1","4,8","409,0","5,8",502,,,,,,,,,,,,
,Монета 40 мм,,400 000,"3,5","297,4","4,9","424,3",6,"517,3",,,,,,,,,,,,
Упаковка вариант 1 (акрил),,,,,,,,,,,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 4 мм
Размер коробки: 150*150*70 мм
Материал коробки: акрил + нанесение",400 000,"6,1","558,0","8,5","779,1","10,3","941,2",135-140,125-130,115-120,6500 (монета) + 10 200 (коробка),28-30,,"7,32","669,6","10,2","934,92","12,36","1129,44"
,Монета 35 мм,,400 000,"6,2","566,6","8,6","787,7","10,4","949,9",,,,,,,"7,44","679,92","10,32","945,24","12,48","1139,88"
,Монета 40 мм,,400 000,"6,3","575,0","8,7","796,1","10,5","958,2",,,,,,,"7,56",690,"10,44","955,32","12,6","1149,84"
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 2 мм
Размер коробки: 150*150*70 мм
Материал коробки: акрил + нанесение",400 000,"6,2","569,6","8,7","792,0","10,4",955,135-140,125-130,115-120,6500 (монета) + 10 200 (коробка),28-30,,"7,44","683,52","10,44","950,4","12,48",1146
,Монета 35 мм,,400 000,"6,3","574,3","8,7","796,6","10,5","959,7",,,,,,,"7,56","689,16","10,44","955,92","12,6","1151,64"
,Монета 40 мм,,400 000,"6,5","590,6","8,9","812,9","10,7",976,,,,,,,"7,8","708,72","10,68","975,48","12,84","1171,2"
Упаковка вариант 2,,,,,,,,,,,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 4 мм
Размер коробки: 100*100*50 мм
Материал коробки: EVA + PS прозрачная крышка + PS черный",400 000,"2,7","248,7","3,4","311,1","3,9","356,9",135-140,125-130,115-120,6500 (монета) + 11 300 (коробка),25-27,,,,,,,
,Монета 35 мм,,400 000,"2,8","255,6","3,5","318,1",4,"363,9",,,,,,,,,,,,
,Монета 40 мм,,400 000,"3,0","274,2","3,7","336,6","4,2","382,4",,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 2 мм
Размер коробки: 100*100*50 мм
Материал коробки: EVA + PS прозрачная крышка + PS черный",400 000,"2,7","232,8","3,4","291,8","3,9","335,1",135-140,125-130,115-120,6500 (монета) + 11 300 (коробка),25-27,,,,,,,
,Монета 35 мм,,400 000,"2,8","237,2","3,4","296,2",4,"339,5",,,,,,,,,,,,
,Монета 40 мм,,400 000,"2,9","252,5","3,6","311,5","4,1","354,8",,,,,,,,,,,,
Упаковка вариант 3,,,,,,,,,,,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Коробка: прозрачный акрил 
Размер коробки: 80*80*80 мм, толщина акрила 2 мм",400 000,"2,4","220,7","3,1","282,9","3,6","328,6",135-140,125-130,115-120,6500 (монета) + 6600 (коробка),25-27,,,,,,,
,Монета 35 мм,,400 000,"2,5","227,7","3,2","289,9","3,7","335,5",,,,,,,,,,,,
,Монета 40 мм,,400 000,"2,7","246,2","3,4","308,4","3,9","354,1",,,,,,,,,,,,
,Монета 30 мм,"Материал: цинковый сплав
Толщина: 2 мм
Коробка: прозрачный акрил 
Размер коробки: 80*80*80 мм, толщина акрила 2 мм",400 000,"2,4","206,4","3,1","265,2","3,6","308,4",135-140,125-130,115-120,6500 (монета) + 6600 (коробка),25-27,,,,,,,
,Монета 35 мм,,400 000,"2,5","213,0","3,2","271,8","3,7","314,9",,,,,,,,,,,,
,Монета 40 мм,,400 000,"2,6","226,1","3,3","284,9","3,8","328,1",,,,,,,,,,,,
Упаковка вариант 4,,,,,,,,,,,,,,,,,,,,,
,Монета 30 мм,"Материал монеты: цинковый сплав 
Толщина: 4 мм
Коробка: акрил ",400 000,"8,9","766,1","10,6","909,7","11,8","1015,1",100-1005,90-95,80-85,6500 (монета) + 7000 (коробка),25-27,,,,,,,
,Монета 35 мм,,400 000,"9,0","772,7","10,7","916,3","11,9","1021,6",,,,,,,,,,,,
,Монета 40 мм,,400 000,"9,2","790,2","10,9","933,8","12,1","1039,1",,,,,,,,,,,,
,Монета 30 мм,"Материал монеты: цинковый сплав 
Толщина: 2 мм
Коробка: акрил ",400 000,"8,9","763,9","10,6","907,6","11,8","1012,9",100-105,90-95,80-85,6500 (монета) + 7000 (коробка),25-27,,,,,,,
,Монета 35 мм,,400 000,"8,9","768,3","10,6","911,9","11,8","1017,3",,,,,,,,,,,,
,Монета 40 мм,,400 000,"9,1","783,6","10,8","927,3",12,"1032,6",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Монета 40 мм
Толщина 2 мм","Материал: цинковый сплав
Толщина: 2 мм
Размер коробки: 80*80*40 мм
Материал коробки: EVA + PS прозрачная крышка + PS черный",400 000,"2,9","266,1","3,7","337,5","4,3","389,8",130-135,120-115,110-105,6500 (монета) +  11 200(коробка),25-27,,,,,,,
,,,,"3,6","332,6","4,6","421,9","5,4","487,3",,,,,,,,,,,,
