с,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
,"Рюкзак-сумка под производство (цена и сроки рассчитаны примерно, так как без макетов точный расчет произвести невозможно)"," Материал: 100% нейлон, мембранная ткань
Размер: 44 × 28 × 11 см
 Цвета: близкие к пантону
 Вместительный общий отдел на молнии SBS. На задней стенке карман на молнии для ноутбука 17 дюймов
 Передний карман на герметичной молнии
 2 внутренних кармана для гаджетов
 Объем - 20 литров
 
 Пуллеры черного цвета, дугообразные 
 Персонализация: жаккардовая вшивная бирка с логотипом на лицевой стороне
Размер бирки - 5x2 см
 На стропах жаккардовая вывязка логотипа
 Упаковка: индивидуальный пакет","300 (только стоковая позиция)

500 (только стоковая позиция)

1000

2000","14,89

14,13

18,54

17,41","1391,95

1321,53

1733,91

1628,28","35-40кд (стоковые)

50-55кд

60-65кд","4 883 ₽ - стоковая

15 983 ₽","17-19кд - стоковая

22-24кд",
,Антирадиационный стикер,"Цвет: серебряный / золотой .
 Диаметр - 28 мм. 
 Покрытие - глянцевое.
 Упаковка: индивидуальный пакет от 5000шт
Имеются разные дизайны лицевой стороны","1000-1500

1500-2000

2001+

5000","0,46

0,40

0,31     

0,28","43,33 ₽

37,57 ₽

29,47 ₽

26,38 ₽","

40-45кд



50-55кд","4 218,61 ₽","10-15 календарных дней фото/видео, 12-14 календарных дней доставка до Москвы",
,Круглая шунгитовая пластина стикер на телефон,"Диаметр - 2 см.( можно 2,5 см и 3 см) 
 Цвет - черный. 
 Упаковка -прозрачный пакетик.","1000

2000","1,7

1,56","159,49 ₽

145,64 ₽","

45-50кд
","2 021,28 ₽",12-14 календарных дней доставка до Москвы,
,Беспроводная клавиатура. Вид 1.,"Материал: пластик
Размер: 20*12,6 см
Цвет: черный
Совместимые платформы: Android, Chrome OS, Linux, PC, Windows, Windows Phone, Mac OS, iOS
 Русская раксладка
Bluetooth 3.0
Подсветка
Нанесение: цв печать
Упаковка: заводская коробка","1000

2000

3000","5,42

5,09

4,93","517,39

486,16

470,70",40-45 кд,"7 826,52",22-24 кд,
,Беспроводная клавиатура. Вид 2.,"Материал: пластик
Размер: 30,4*9,8 см
Цвет: белый, черный
Совместимые платформы: Android, Chrome OS, Linux, PC, Windows, Windows Phone, Mac OS, iOS
Английская раскладка
Bluetooth 5.1
Ёмкость аккумулятора: 140 мач
Нанесение: цв печать в один цвет
Упаковка: заводская коробка","1000

2000

3000","27,34

25,72

24,92","2 579,89

2 427,33

2 351,22",65-70 кд,"11 179,24",24-26 кд,
,Зонт складной. Вид 4,"Материал: эпонж, аллюминий
Примерная длина каркаса: 58 см
Проявляющийся рисунок
Площадь нанесения - 60 кв.см
Упаковка: заводская упаковка","1000

2000

3000","8,56

8,05

7,80","800,52

752,63

728,85",50-55 кд,"5 824,64",22-24 кд,
,Зарядное устройство 10000 мач. Вид 2,"Материал: пластик, полимерный литий-ионный аккумулятор
Размер: 101*66*28 мм
10000 мач
3 встроенных зарядных кабеля
 Вход: DC 5V / 2.1A
Нанесение: цв печать 1+0
Упаковка: заводская коробка","700

1000

2000","8,24

7,47

7,09","790,34

717,05

681,22",40-45 кд,"5 400,09",20-22 кд,
,Зарядное устройство 10000 мач. Вид 1,"Материал: пластик, полимерный литий-ионный аккумулятор
Размер: 90*78.7*24 мм
10000 мач
4 встроенных зарядных кабеля
Вход: DC 5V / 2.1A
Мощность зарядки: 22,5Вт
Без функции быстрой зарядки
Нанесение: цв печать 1+0
Упаковка: заводская коробка","700

1000

2000","8,28

7,78

7,53","795,90

748,39

724,23",42-47 кд,"5 631,66",20-22 кд,
,"Алюминиевый стакан, меняющий цвет от холодного напитка","Материал: алюминий
Объем: 450мл
Размер:
Нанесение лого 1 цвет","1000

2000

3000","3,28

3,08

2,98","314

295

285",60-65 календ.дней,24 277руб.,"Фото/видео: 12-14 календ.дней
+
Доставка 12-14 календ.дней",
,"Интерьерное украшение 
Елка ","Материал:
елка-костяной бисквитный фарфор 
подставка-дерево
украшения-цинковый сплав(15 игрушек (5 дизайнов по 3 шт)+1 звезда)

подставка имеет LED подсветку,встроенную bluetoth колонку,в комплекте идет шнур с usb 
Просчет без подарочной упаковки(!)","500

1000

2000","58,212

57,08

50,87","5442,86

5336,79

4756,33",125-150 календ.дней,"146144,86рублей(необходима плата за открытие формы игрушек 127681,37рублей+18463,49 за елку с подставкой)",27 календ.дней,
,"Беспроводная зарядная станция для телефона, умных часов и наушников","Материал: пластик ABS
Цвет: черный металлик
Складная
Вход: Type-C 9V2A 12V/2A
В комплекте кабель USB Type-C
Беспроводная зарядка телефона: 5W/7.5W/10W/15W;
 Беспроводная зарядка наушников:  максимум 2W;
 Беспроводная зарядка смарт-часов: макисмум 3W.
Нанесение: лазерная печать, цветная
Упаковка: заводская коробка","1000

2000

3000","17,39

17,18

17,08","1626,15

1611,43

1597,28",50-55 календарных дней,"5631,66","3-7 календарных дней фото/видео
13-15 календарных дней доставка до Москвы

",
,Стеклянная бутылка со шкалой контроля потребления воды,"Материал: боросиликатное стекло + пластик (крышка)
 Объем - 500 мл, диаметр - 7 см
 На бутылке шкала делений для контроля потребления воды. 
Цвет: прозрачная
Нанесение: по кругу, обжигом
Упаковка: заводская коробка","700

1000

2000","5,11

5,10

5,09","477,49

476,76

475,91",40-45 календарных дней,"25086,78","7-12 дней фото/видео
13-15 календарных дней доставка до Москвы",
,"Игровой Набор 
Клавиатура + мышь","Набор: клавиатура и мышь с радужной подстветкой.
 Колпачки клавиш в версии светятся.
 Светодиод на клавиатуре и мыши.
 19 клавиш с защитой от ореолов на клавиатуре (доп.фото)
 Мультимедийные функциональные клавиши на клавиатуре
 Мышь: программируемая мышь RGB.
 До 2400 точек на дюйм мыши
 Технические характеристики
 Клавиатура: Интерфейс: USB
 Количество ключей: 104, Срок службы ключа:10000000 раз
 Длина кабеля: около 150 см, Вес нетто: 830 г
 Ток: 100 мА,Напряжение: 5 В
 Мышь:
 Интерфейс:USB
 Кнопок:7, Длина кабеля: около 160 см
 Вес нетто: 150гр
 Разрешение:800/1200/1600/2400DPI, Размер мыши:0,135*0,78*0.32 см
 Нанесение: печать на клавиатуре и мыши, 1+0. 
 Упаковка: индивидуальная картонная коробка.

","1000

2000","28,88

28,56","2605,09 ₽

2580,62 ₽","65-70 календарных дней

75-80 календарных дней","14 221,77 ₽","10-15 календарных дней фото/видео, 12-14 календарных дней доставка до Москвы",
,Термобутылка с UV стерилизацией воды,"Материал: Нержавеющая сталь 304
Размер: 258*77мм
Вес: 550гр
Водозащита IPX6 (IPX7 найти не удалось)
Объем: 750мл
Цвет: черный матовый
Емкость батареи: 220 мАч
Напряжение зарядки: 5V / 1A.  
Тип зарядного кабеля: Type C
Нанесение: УФ печать 2+0
","1000

2000","24,9","2 363,03 ₽",65-70 календарных дней,"22441,89","9-14 дней фото/видео
17-20 календарных дней доставка до Москвы",
,Вентилятор ручной с карабином,"Материал: АБС + электроника
Размер: 90*75*35мм
Емкость аккумулятора: 600 мА
Используемая мощность: 5 Вт
Цвет: белый, черный
Брендирование: УФ-печать
Упаковка: индивидуальная коробка","1000

2000

3000","
3,47

3,37

3,30","321,05

314,65

308,82",35-40 календарных дней,"4936,94","3-7 календарных дней фото/видео
13-15 календарных дней доставка до Москвы",
,Ночник с часами,"Материал: пластик ABS, оргстекло
Цвет: белый, синий, розовый
Нанесение логотипа: УФ-печать
Работает от сети, USB
Встроенная батарейка
25 встроенных мелодий
Режим заката
4 уровня регулировки подсветки
3 уровня яркости
2 независимых будильника
","1000

1500

2000","21,93

21,26

19,93","2050, 83

1988,16 

1863,65",60-70 календарных днкй,"Образец без нанесения (фабричный):
4643,96","Из наличия. 

13-15 дней доставка до Москвы",
,Брелок-шнурок,"Материал: нейлон
Цвет: по запросу из фабричных цветов (зеленый, синий, красный, розовый, желтый, черный, белый)
Размер: длина 30 см (в незакрепленном виде), толщина 8 мм 
Железная фурнитура","1000

2000

3000","0,58

0,55

0,53","54,16

51,74

49,91",40-50 календарных дней,"10214,35","7-12 календарных дней фото/видео
13-15 дней доставка до Москвы",
,Бейсболка классическая. Вид 4,"Бейсболка классической формы, 6 клиньев 
 6 вентиляционных отверстий
 Металлическая застежка с регуляцие 
 Материал - Хлопок 100%, 290 гр
 Размер - 58 см
 Цвет - на выбор (в рамках тиража изделие одного цвета). 
 Брендирование: на клине - вышивка плоская, 10 кв.см 
 Жаккардовая бирка, 4x1 см, красочность 3+0, вшита между клиньями
 Упаковка - картонный фиксатор внутрь бейсболки, индивидуальный пакет-слайдер","500

1000

2000","7,28

6,73

6,73","682,42

630,35

630,58",65-70 календ.дней,18800 руб,28-30 календ.дней,
,Бейсболка классическая. Вид 5,"Бейсболка классической формы, 6 клиньев
 6 вентиляционных отверстий
 Металлическая застежка с регуляцией
 Материал - Хлопок 100%, 290 гр
 Размер - 58 см
 Цвет - на выбор (в рамках тиража изделие одного цвета)
 Брендирование: на клине - Термотрансферная пленка (обычная), 2+0, 10 кв.см, светоотражающая пленка , 10 кв.см. Жаккардовая бирка, 4x1 см, красочность 3+0, вшита между клиньями. 
 Упаковка - картонный фиксатор внутрь бейсболки, индивидуальный пакет","500

1000

2000","6,87

6,35

6,34","644,00

595,48

594,62",65-70 календ.дней,18800 руб,28-30 календ.дней,
,Бейсболка с прямым козырьком. Вид 1,"Бейсболка с прямым козырьком, 6 клиньев 
 6 вентиляционных отверстий
 Металлическая застежка с регуляцией
 Материал - Хлопок 100%, 290 гр
 Размер - 58 см
 Цвет - на выбор (в рамках тиража изделие одного цвета)
 Брендирование: на клине - Термотрансферная пленка (обычная), 2+0, 10 кв.см, светоотражающая пленка , 10 кв.см. Жаккардовая бирка, 4x1 см, красочность 3+0, вшита между клиньями
 Упаковка - картонный фиксатор внутрь бейсболки, индивидуальный пакет","500

1000

2000","6,96

6,43

6,42","652,23

603,23

602,61",65-70 календ.дней,18800 руб,28-30 календ.дней,
,Бейсболка с прямым козырьком. Вид 2,"Бейсболка с прямым козырьком, 5 клиньев
 6 вентиляционных отверстий
 Металлическая застежка с регуляцией
 Материал - Хлопок 100%, 290 гр
 Размер - 58 см
 Цвет - на выбор (в рамках тиража изделие одного цвета)
 Брендирование: на клине - объемная вышивка, 20 кв.см. 
 Жаккардовая бирка, 4x1 см, красочность 3+0, вшита между клиньями. 
 Упаковка - картонный фиксатор внутрь бейсболки, индивидуальный пакет","500

1000

2000","8,35

7,70

7,69","781,21

720,74

719,80",65-70 календ.дней,18800 руб,28-30 календ.дней,
,Подставка для наушников,"Держатель представляет собой выполненную из алюминия подставку для наушников.
 Цвет: черный.
 Материал: алюминий
 Размер:120*95*270 мм. 
 Цвет - черный. 
 Нанесение - лазерная гравировка
 Упаковка - заводская коробка.
","
1000

2000
","9,82

9,36","908,16 ₽

866,15 ₽","45-50кд 

60-65кд","9479,22","""7-12 календарных дней фото/видео
13-15 дней доставка до Москвы""",
,Лампа с часами,"Лампа настольная складная
Док-станция для зарядки телефона
Мощность: 15 W

Цвета: черный, белый
3 режима освещения
Размер: 46*13*5см
Нанесение: UV-печать
Упаковка: заводская коробка

Сенсорное управление
Питание от сети: USB-кабель
Таймер на 1 и 2 часа
ЖК-часы с подстветкой, календарь, температура
Энергосберегающая


","50-100

200-300

500-1000","ЖД:

18,71

18,34

18,03","ЖД:

1730,7

1696,10

1667,38","ЖД:

30-40 календарных дней

45-50 календарных дней

55-65 календарных дней","5942,74","5-10 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",
,Лампа Сяоми,"Лампа настольная
Размеры: 44 см * 18 см
Плавная регулировка яркости и температуры
Цветовая температура: 2700K-5500K
Упаковка: заводская коробка

Дистанционное управление через wi-fi
","30

50

100","ЖД:

55,58","ЖД:

5141,15","ЖД:

30-40 календарных дней","6806,11","5-10 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",
,Чемодан ,"Чемодан на колесиках. 
 Материал - пластик. 
 Прорезиненные колеса с подшипниками. Вращение 360°.
 Прорезиненные ручки.
 Кодовый замок TSA. 
 Внутренний карман и внутренние ремни.
 Цвет - черный. 
 Размер 42 x 65 x 27 см.
 Упаковка - прозрачный пакет.

","
1000

2000
","82,59

80,75","8 219,43 ₽

8 049,19 ₽","45-50кд 

60-65кд","15659,81","7-12 календарных дней фото/видео
13-15 дней доставка до Москвы",
,Массажер,"Размер массажера: 25*24 см
 Источник питания: 5V DC 1A (USB )
 Мощность: 5W
 Литиевая батарея: 3.7 V, 1450 mAh
 Время зарядки: 2 часа
 Музыкальное сопровождение через bluetooth-соединение: нет
 Дисплей LED.
 Емкость аккумулятора: 2500 мАч, Напряжение аккумулятора: 14,8 В
 Время зарядки: 3,5–4 часа
 Тип двигателя: бесщеточный двигатель 45 мм. Двигатель Скорость: 3100 об / мин.
 Материал: АБС-пластик. Номинальная мощность: 60 Вт.
 Брендирование: тампопечать 1+0
Оформление ДС+СС (100000руб + 1 месяц на оформление)","1000

2000","18,98

18,43","1 755,41 ₽

1 704,60 ₽","45-50кд 

60-65кд","19 870,11 ₽","7-12 календарных дней фото/видео
13-15 дней доставка до Москвы",
,"Коврик для йоги. Вид 1
(стоимость примерная, для предоставления точной необходим визуал логотипа )","Материал: ПВХ
Размер: 173*61*0,5 см
Нанесение: УФ печать
Упаковка: заводская упаковка","100

300

500

1000","16,80

16,68

16,51

15,38","1 634,93

1 623,60

1 607,61

1 498,53",55-60 кд,"11 102,00",22-24 кд,
,"Коврик для йоги. Вид 2
(стоимость примерная, для предоставления точной необходим визуал логотипа )","Материал: ТПЭ
Размер: 183*61*0,6 см
Нанесение: тиснение до 20 см
Упаковка: заводская упаковка","100

300

500

1000","19,31

18,44

18,21

17,01","1 887,34

1 807,41

1 785,93

1 668,94",50-55 кд,"18 933,45",24-26 кд,
,"Стяжка на коврика для йоги
(стоимость примерная, для предоставления точной необходим визуал шеврона )","Материал: полиэстер
Размер: 150*3,8 см
150 цветов на выбор
Без липучек
Нанесение: ПВХ шеврон 5*4 см, 2+0
Упаковка: заводская упаковка","100

300

500

1000","3,47

2,75

2,61

1,94","320,98

254,77

241,52

179,23",45-50 кд,"15 726,08",24-26 кд,
,Капюшон дутый,"Капюшон со стеганым узором. 
 Застежки - фиксаторы со шнурками, металлическая молния с контрастной фурнитурой.
 Материал изделия: полиэстер 
 Отделка: искусственная кожа 
 Фурнитура: металл 
 Наполнитель: полипропиленовый хлопок 
 Размер: one size
 Пуллер - ПВХ, красочность 2+0. 
 Упаковка - прозрачный пакет с клапаном","500-1000
1001-1500
1501 и более","29,67
29,38
29,03","2744,33
2717,30
2685,33",65-70,9000,24 дня (фото / видео 12 дней)(,
,Чехол для ноутбука дутый,"Чехол для ноутбука со стеганым узором. 
 Основное отделение на молнии с бархатной подкладкой и разделителем. 
 Подходит для устройств с диагональю до 13 дюймов.
 Материал изделия: полиэстер 
 Отделка: искусственная кожа 
 Фурнитура: металл 
 Наполнитель: полипропиленовый хлопок 
 Цвет на выбор. *(в рамках тиража изделие одного цвета).
 Параметры: длина 35 см, высота 25 см.
 Пуллеры - ПВХ, красочность 2+0. 
 Нанесение - ПВХ шеврон, красочность 3+0, размер - 6x3 см. 
 Упаковка - прозрачный пакет с клапаном","500-1000
1001-1500
1501 и более","15,85
15,54
15,36","1465,70
1437,31
1420,40",65-70,9000,24 дня (фото / видео 12 дней)(,
,"Сумка для ноутбука дутая

","Сумка для ноутбука со стеганым узором. 
 Основное отделение на молнии с текстильной подкладкой, карман для ноутбука с резинкой-фиксатором, несколько отделений для мелких предметов и внутренний карман на молнии. 
 В комплекте есть регулируемый плечевой ремень. Ремень - гладкая стропа. 
 Материал изделия: полиэстер 
 Отделка: искусственная кожа 
 Фурнитура: металл 
 Наполнитель: полипропиленовый хлопок 
 Цвет на выбор. *(в рамках тиража изделие одного цвета).
 Параметры: высота 40 см, ширина 39 см, глубина 9 см
 Пуллеры - ПВХ, красочность 2+0. 
 Нанесение - ПВХ шеврон, красочность 3+0, размер - 6x3 см. 
 Упаковка - прозрачный пакет с клапаном","500-1000
1001-1500
1501 и более","22,24
21,67
21,37","2057,05
2004,12
1977,09",65-70,9000,24 дня (фото / видео 12 дней)(,
,"Спортивная сумка дутая
","Спортивная сумка со стеганым узором.
 Просторное основное отделение на молнии с текстильной подкладкой.
 Внутри несколько отделений для мелких предметов, два кармана на молнии.
 Внешнее отделение на молниях для коврика для йоги. В комплекте регулируемый плечевой ремень.
 Материал изделия: полиэстер
 Отделка: искусственная кожа
 Фурнитура: металл
 Наполнитель: полипропиленовый хлопок
 Цвет - на выбор *(в рамках тиража изделие одного цвета)
 Параметры: длина 55 см, высота 31 см, глубина 23 см
 Пуллеры - ПВХ, красочность 3+0. 
 Нанесение - ПВХ шеврон, красочность 3+0, размер - 6x3 см. 
 Упаковка - прозрачный пакет с клапаном","500-1000
1001-1500
1501 и более","22,24
21,67
21,37","2057,05
2004,12
1977,09",65-70,12000,24 дня (фото / видео 12 дней)(,
,"Шоппер дутый. Вид 1

","Шопер малый. Основное отделение закрывается на магнитную кнопку.
 Внутри карман на молнии.
 Материал изделия: полиэстер
 Наполнитель: синтепон
 Параметры: высота 45 см, ширина 35 см, глубина 2,5 см.
 Цвет на выбор. *(в рамках тиража изделие одного цвета).
 Нанесение - ПВХ шеврон, красочность 3+0, размер - 6x3 см. 
 Упаковка - прозрачный пакет с клапаном","300-500
501-1000
1001 и более","21,3
21,01
20,67","1969,91
1943,22
1912,00",65-70,12000,24 дня (фото / видео 12 дней)(,
,Шоппер дутый. Вид 2,"Шопер большой. Основное отделение закрывается на магнитную кнопку.
 Внутри карман на молнии.
 Материал изделия: полиэстер
 Наполнитель: синтепон
 Параметры: высота 48 см, ширина 42 см, глубина 2,5 см
 Цвет на выбор. *(в рамках тиража изделие одного цвета).
 Нанесение - ПВХ шеврон, красочность 3+0, размер - 6x3 см. 
 Упаковка - прозрачный пакет с клапаном","300-500
501-1000
1001 и более","22,66
22,37
21,74","2095,96
2069,27
2011,36",65-70,12000,24 дня (фото / видео 12 дней)(,
,Шоппер дутый. Вид 3,"Шопер со стеганым узором.
 Просторное основное отделение на молнии с разделителем и текстильной
 подкладкой. Внутри карман на молнии.
 В комплекте регулируемый ремень, который позволяет носить шопер как на плече, так и через плечо.
 Материал изделия: полиэстер
 Отделка: искусственная кожа
 Фурнитура: металл
 Наполнитель: полипропиленовый хлопок
 Параметры: высота 35 см, ширина 33 см, глубина 18 см
 Цвет на выбор. *(в рамках тиража изделие одного цвета).
 Нанесение - ПВХ шеврон, красочность 3+0, размер - 6x3 см. 
 Упаковка - прозрачный пакет с клапаном","500-1000
1001-1500
1501 и более","23,92
23,36
23,08","2212,84
2160,48
2135,06",65-70,12000,24 дня (фото / видео 12 дней)(,
,Поясная сумка. Вид 1,"Поясная сумка со стеганым узором. 
 Основное отделение имеет текстильную подкладку и карман на молнии. 
 Внешнее отделение на молнии с застежкой-фастексом.
 Материал изделия: полиэстер 
 Отделка: искусственная кожа 
 Фурнитура: металл 
 Наполнитель: полипропиленовый хлопок. 
 Параметры: Параметры: высота 17 см, ширина 25 см, глубина 5 см.
 Пуллеры - шнурок, ПВХ. 
 Упаковка - прозрачный пакет с клапаном","300-500
501-1000
1001 и более","21,21
18,30
17,99","1961,71
1692,55
1664,16",65-70,12000,24 дня (фото / видео 12 дней)(,
,"Сумка-кроссбоди дутая

","""Кросс-боди сумка со стеганым узором. 
 Внутреннее отделение на магнитной кнопке, внутри карман на молнии. 
 В комплекте регулируемый ремень, который позволяет носить сумку как на плече, так и через плечо. Ремень продевается через 2 ручки. 
 Материал изделия: полиэстер 
 Отделка: искусственная кожа 
 Фурнитура: металл 
 Наполнитель: полипропиленовый хлопок 
 Параметры: ширина 15 см, высота 20 см, глубина 4 см.
 Цвет на выбор. *(в рамках тиража изделие одного цвета).
 Нанесение - ПВХ шеврон, красочность 3+0, размер - 6x3 см. 
 Упаковка - прозрачный пакет с клапаном""

","500-1000
1001-1500
1501 и более","14,24
13,95
13,78","1317,07
1290,04
1274,86",65-70,12000,24 дня (фото / видео 12 дней)(,
,"Косметичка. Вид 1

","Косметичка со стеганым узором. 
 Основное отделение имеет текстильную подкладку и карман на молнии. 
 Внешнее отделение на молнии с застежкойфастексом.
 Материал изделия: полиэстер 
 Фурнитура: металл 
 Наполнитель: полипропиленовый хлопок 
 Параметры: высота 17 см, ширина 25 см, глубина 5 см
 Нанесение - ПВХ шеврон, красочность 3+0, размер - 4x2 см. 
 Упаковка - прозрачный пакет с клапаном","300-500
501-1000
1001 и более","20,92
18,01
17,70","1935,02
1665,86
1637,47",65-70,12000,24 дня (фото / видео 12 дней)(,
,Несессер дутый,"Несессер со стеганым узором и закругленной верхней ручкой. 
 Основное отделение имеет текстильную подкладку и карман на молнии. 
 Застежка-фастекс.
 Материал изделия: полиэстер 
 Отделка: искусственная кожа 
 Фурнитура: металл 
 Наполнитель: полипропиленовый хлопок 
 Параметры: высота 25 см, ширина 30,5 см, глубина 10 см
 Цвет на выбор. *(в рамках тиража изделие одного цвета).
 Пуллеры - ПВХ, красочность 2+0. 
 Нанесение - ПВХ шеврон, красочность 3+0, размер - 6x3 см. 
 Упаковка - прозрачный пакет с клапаном","300-500
501-1000
1001 и более","16,60
16,03
15,74","1535,65
1482,72
1455,69",65-70,12000,24 дня (фото / видео 12 дней)(,
,Шторка для камеры,"Размер: 32*16мм
Материал: пластик
Цвет: черный/белый
нанесение 4+0
Упаковка: брендированная картонная подложка + OPP пакет","500

1000

2000","0,53

0,49

0,45","50

46

43",35-40 календ.дней,4 466руб.,"Фото/видео: 4-6 календ.дней
Доставка: 12-14 календ.дней",
