,Термос с кружкой,"Материал: нержавеющая сталь
Размер: 22,5*8 см
Объём: 600 мл
Кастомизация: лого 2 цвета
Упаковка: заводская коробка","1000

2000

5000","9,49

9,20

8,92","893,69

866,58

839,84",45-50 кд,"5 550,07",20-22 кд,,
,Вентилятор на шею,"Материал: ABS + электронные компоненты + аккумулятор
Размер: 200*145*60 мм
Потребляемая мощность: 5 В/1 А 
Мощность : 3,5 Вт 
Емкость аккумулятора: 400 мА 
Рабочий механизм: 3 передачи
Кастомизация: лого 2 цвета
Упаковка: заводская упаковка","1000

2000

5000","5,93

5,78

5,62","565,52 

551,17

537,16",40-45 кд,"13 625,41",20-22 кд,,
,Кейс для столовых приборов,"Материал: нержавеющая сталь, пластик
Размер: 20,2*5,3 см
Кастомизация: лого 2 цвета
Упаковка: заводская упаковка","1000

2000

5000","4,83

4,77

4,70","463,45

457,20

451,29",45-50 кд,"7 850,52",20-22 кд,,
,Конструктор Поезд,"Материал: пластик
Длинна поезда в собраном виде: 35 см
Количество деталей: 650 шт
Настройка коробки от 5 тыс шт
Размер фабричной коробки: 25*5*16 см","1000

3000

5000","12,57

12,26

11,96","1 183,35

1 155,22

1 127,99",60-65 календ.дней,30400 руб,22-24 календ.дней,,
,Конструктор Поезд,"Материал: пластик
Количество деталей: 32 шт
Без возможности настройки пластикового тубуса
Настройка коробки от 5 тыс шт
Вместо тубуса возможно настроить каленькую коробку на фабрике коробок
Размер пластикового тубуса: 7*6,25 см
Размер большой коробки: 28,5*21*7,5 см","1000

3000

5000","2,25

2,14

2,05","211,15

201,92

193,60",60-65 календ.дней,29100 руб,22-24 календ.дней,,
,Конструктор Поезд,"Материал: пластик
Размер поезда в собраном виде: 4х3х7 см
Количество деталей в маленькой коробке: 54 шт, общее количество деталей 406 шт
Настройка коробки от 5 тыс шт
Размер маленькой коробки: 9,5*14,5*4,5 см
Размер большой коробки: 19,5*29,3*18,6 см","1000

3000

5000","8,60

8,30

8,00","791,97

763,84

736,62",60-65 календ.дней,29200руб,22-24 календ.дней,,
,Игрушка Поезд,"Материал: дерево, магнитное крепление
Примерный размер: 23х3х5 см

Фабричной коробки нет, товар поставляется в прозрачном пакете
Настройка коробки возможна от 5 тыс шт","1000

3000

5000","6,74

6,65

6,47","623,06

614,96

598,76",60-65 календ.дней,29100 руб,22-24 календ.дней,,
,Игрушка Поезд,"Материал: дерево
Примерный размер: 8,3х3,2х6 см

Настройка коробки от 5 тыс шт
Размер фабричной коробки: 24*15,5*7 см","1000

3000

5000","11,43

11,34

11,25","1 094,22

1 086,12

1 078,02",60-65 календ.дней,30600 руб,22-24 календ.дней,,
,Игрушка балансир,"Материал: дерево
Примерный размер: 7х8см

Настройка от 3 тыс шт
Размер фабричной коробки: 32*13,5*4,6 см","3000

5000","16,15

15,85","1 538,48

1 511,26",60-65 календ.дней,31400 руб,22-24 календ.дней,,
,Игрушка Поезд с домино,"Материал: пластик
Размер: 16х10,5х7 см
Цвет: голубой, розовый
Функции: свет, звук

Настройка коробки от 3 тыс шт
Настройка цвета от 5 тыс шт","3000

5000","10,03

9,73","942,40

915,18",60-65 календ.дней,29850 руб,22-24 календ.дней,,
,Ручка Скоростной поезд с подсветкой,"Материал: пластик
Размер: 15Х1,5 см

Настройка логотипа от 5 тыс шт",5000,"1,5","144,4",60-65 календ.дней,7500 руб,22-24 календ.дней,,
,Ручка ПВХ,"Материал: пластик, пвх
Размер: 15Х1,5 см

Настройка пвх фигурки от 5 тыс шт",5000,"0,6","56,0",60-65 календ.дней,56000 руб,22-24 календ.дней,,
,Пазл ,"Материал: дерево
Размер: 10х10 см

Индивидуальная настройка от 5 тыс шт",5000,"4,1","407,0",60-65 календ.дней,19500 руб,22-24 календ.дней,,
,Пазл ,"Материал: картон
Размер 15х15 см

Индивидуальная настроийка от 1000 шт","1000

3000

5000","3,77

3,52

3,43","364,74

342,01

333,68",60-65 календ.дней,18700 руб,22-24 календ.дней,,
,Калейдоскоп,"Материал: картон
Размер 19х4,5 см

Индивидуальная настроийка от 1000 шт","1000

3000

5000","1,49

1,42

1,36","140,42

133,89

128,26",60-65 календ.дней,15600 руб,22-24 календ.дней,,
,Кроксы,"Материал: EVA
Размерный ряд: минимум 6 размеров в партии
Цвет: по запросу выкрас в пантон
Упаковка: индивидуальный полиэтиленовый пакет
Нанесение: на пряжку, на ремешок шелкографией

Выкраска в пантон от 2000 шт.",1000,"Нанесение: на пряжку в 1 цвет

12,28","Нанесение: на пряжку в 1 цвет

1117,75",60-70 календарных дней,32 460руб.,"10-12 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",,
,,,,"Нанесение: на ремешок в 1 цвет, выкраска

13,17","Нанесение: на ремешок в 1 цвет, выкраска

1198,74",,,,,
,,,,"Нанесение: на ремешок и пряжку в 1 цвет, выкраска

13,47","Нанесение: на ремешок и пряжку в 1 цвет, выкраска

1225,74",,,,,
,,,2000,"Нанесение: на пряжку в 1 цвет

11,98","Нанесение: на пряжку в 1 цвет

1089,91",,,,,
,,,,"Нанесение: на ремешок в 1 цвет, выкраска

12,87","Нанесение: на ремешок в 1 цвет, выкраска

1170,89",,,,,
,,,,"Нанесение: на ремешок и пряжку в 1 цвет, выкраска

13,16","Нанесение: на ремешок и пряжку в 1 цвет, выкраска

1197,89",,,,,
,,,3000,"Нанесение: на пряжку в 1 цвет

11,67","Нанесение: на пряжку в 1 цвет

1062,40",,,,,
,,,,"Нанесение: на ремешок в 1 цвет, выкраска

12,56","Нанесение: на ремешок в 1 цвет, выкраска

1143,39",,,,,
,,,,"Нанесение: на ремешок и пряжку в 1 цвет, выкраска

12,86","Нанесение: на ремешок и пряжку в 1 цвет, выкраска

1170,38",,,,,
,Кроксы с джиббитсами,"Материал: EVA
Цвета: черный, белый, синий, серый, розовый, фиолетовый, темно-зеленый, оранжевый, светло-зеленый.
+ 1 Джиббитс по индивидуальному дизайну
Упаковка: индивидуальный полиэтиленовый пакет
Нанесение: логотип в 1 цвет на пряжку
",5000,"6,0","548,4",45-50 календарных дней,8 980руб.,"10-15 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",,*Пример джиббитсов
,Джиббитсы (набор из 3 шт. с подложкой),"Материал: ПВХ
Форма и цвет: по индивидуальному дизайну
Упаковка: подложка под 3 шт., по индивидуальному дизайну
",5000,"1,1","103,9",45-50 календарных дней,"Цена за открытие формы:

15200руб.","7-8 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",,
,Сумка для животных маленькая,"Материал: оксфорд 600D
Цвет: любой из раскладки (доп. фото)
Размер: 34*18*24см
Вес: 750г
Нанесение лого 2 цвета",1000,"12,2","1183,0",55-60 календ.дней,6 865руб.,"6-7 календарных дней фото/видео

12-14 календарных дней доставка до Москвы",,
,,,3000,"11,8","1147,0",,,,,
,,,5000,"11,5","1118,0",,,,,
,Сумка для животных средняя,"Материал: оксфорд 600D
Цвет: любой из раскладки (доп. фото)
Размер: 40*21*27см
Вес: 900г
Нанесение лого 2 цвета",1000,"14,4","1397,0",55-60 календ.дней,7 430руб.,"6-7 календарных дней фото/видео

12-14 календарных дней доставка до Москвы",,
,,,3000,"13,9","1355,0",,,,,
,,,5000,"13,5","1321,0",,,,,
,Сумка для животных большая,"Материал: оксфорд 600D
Цвет: любой из раскладки (доп. фото)
Размер: 50*22*30см
Вес: 1300г
Нанесение лого 2 цвета",1000,"19,8","1930,0",55-60 календ.дней,9 120руб.,"6-7 календарных дней фото/видео

12-14 календарных дней доставка до Москвы",,
,,,3000,"19,2","1872,0",,,,,
,,,5000,"18,6","1815,0",,,,,
,Подушка для шеи,"Материал: полиэстер
Размер: 35*25см
Цвет: в ассортименте
Нанесение: термотрансфер 2 цвета
Брендированный индивидуальный мешочек
",1000,"4,4","412,0",40-45 календ.дней,4 780руб.,"6-7 календарных дней фото/видео

12-14 календарных дней доставка до Москвы",,
,,,3000,"4,3","399,0",45-50 календ.дней,,,,
,,,5000,"4,1","381,0",50-55 календ.дней,,,,
,Подушка для шеи,"Материал: вельвет, наполнитель ПП хлопок
Размер: 27*27см
Цвет: тёмно-серый / темно-синий / бордовый / розовый / коричневый
Нанесение: вышивка 2 цвета",1000,"8,2","800,0",60-65 календ.дней,8 230руб.,"6-7 календарных дней фото/видео

12-14 календарных дней доставка до Москвы",,
,,,3000,"8,0","775,0",65-70 календ.дней,,,,
,,,5000,"7,7","747,0",70-75 календ.дней,,,,
,Маска для сна,"Материал: полиэстер
Размер: 6.5*4.5 см
Подходит для окружности головы 50-55 см
Цвет: 6 цветов на выбор
Кастомизация: шелкография 2 цвета
Упаковка: опп пакет

Кастомизация от 3000 шт.","3000

5000","0,40

0,37","36,21

34,06",70-75 кд,"7 166,68","8-10 кд фото/видео

12-14 кд доставка до Москвы",,
,Наушники беспроводные,"Цвета: черный, красный, розовый, белый, голубой (циан)
Нанесение: логотип на корпус кейса, шелкография

Поддерживает Bluetooth 5.3
Емкость батареи кейса: 300 mAh
Время зарядки: 1 ч
Время работы: 4-8 часов
Диапазон передачи: 10 м
Дисплей с процентом зарядки
Шумоподавление
 ",1000,"7,5","683,2",45-55 календарных дней,7 150руб.,"5-10 календарных дней фото/видео

13-15 календарных дней доставка до Москвы",,
,,,2000,7.)3,"643,4",,,,,
,,,5000,"6,8","623,4",,,,,
,Power bank,"Материал: пластик, литий-ионный аккумулятор
Размер: 81*28,5*49 мм
Ёмкость аккумулятора: 3000 мА
Одновременная зарядка 3 устройств
Выходное напряжение Type C: 5 В/3 А, 9 В/2,2 А, 12 В/1,6 А 
Выходное напряжение Lightning: 5 В/3 А, 9 В/2,2 А, 12 В/1,6 А
Входное напряжение Type C: 5 В/3 А, 9В/2 А, 12В/1.5 А
Нанесение: логотип один цвет
Упаковка: заводская упаковка","1000

2000

5000","8,07

7,83

7,58","754,56

731,54

708,89",45-50 календарных дней,"5 169,86","5-7 календарных дней фото/видео

12-14 календарных дней доставка до Москвы",,
,Power bank,"Материал: пластик, литий-ионный аккумулятор
Размер: 80.5*46*27.5 мм
Ёмкость аккумулятора: 5000 мА
Нанесение: логотип один цвет
Упаковка: заводская упаковка","1000

2000

5000","6,51

6,35

6,05","603,08

588,66

561,01",50-55 календарных дней,"12 897,76","8-10 календарных дней фото/видео

12-14 календарных дней доставка до Москвы",,
,Блокнот с держателем для ручки,"Материал: кожзам
Размер: A5
Нанесение: УФ-печать
Упаковка: в пакетик","1000

3000

5000","4,40

4,22

4,02","421,87 ₽

404,87 ₽

386,55 ₽","35-40кд

38-43кд

40-45кд",5 660 ₽,19-21кд,,
,Ручка,"Материал: пластик
Тип: шариковая
Размер: 14*1,4см
Цвет: фабричный
Чернила: синие
Лого: 1 цвет, шелкография
Упаковка: в пакетик","1000

3000

5000","0,43

0,38

0,34","40,28 ₽

35,59 ₽

31,89 ₽","35-40кд

40-45кд

45-50кд",4 456 ₽,19-21кд,,
,"Настольная игра ""Уно""","Материал: картон
Размер коробки: 118х93х23 мм
Цветная печать: настройка коробки и карт по макету заказчика
Упаковка в пакет

Требуется оформление Сертификата соответствия, не включено в стоимость, примерно 80-120 тыс.руб.
Если игра Уно, а не аналог, требуется оформление разрешения на ввоз по ТРОИС","1000

3000

5000","4,95

3,90

3,31","464,99

368,85

314,34",45-50 календ.дней,15900 руб,22-24 календ.дней,,
,Тетрис,"Материал: пластик
Размер: 18х8х2 см
Цвет: черный, синий, красный, желтый, зеленый
Без логотипа
Упаковка в фабричную коробку

Требуется оформление Сертификата соответствия, не включено в стоимость, примерно 80-120 тыс.руб.

Возможно настроить коробку на фабрике коробок
Размер фабричной коробки: 18.5х8х2,5 см","1000

3000

5000","4,53

4,46

4,38","441,32

434,76

427,74",35-40 календ.дней,2600 руб,12-14 календ.дней,,
,Тамагочи,"Материал: пластик
Размер: 10,5х5 см
Цвет: красный, желтый, синий, розовый
Без логотипа, без индивидуальной коробки
Упаковка в пакет

Требуется оформление Сертификата соответствия, не включено в стоимость, примерно 80-120 тыс.руб.

Возможно настроить коробку на фабрике коробок","1000

3000

5000","2,52

2,45

2,39","241,09

234,53

228,88",35-40 календ.дней,2900 руб,12-14 календ.дней,,
