,,,,24000,"0,7","78,4",45-55,"0,8","85,1",35-45,,,,
,,,,26000,"0,7","75,4",,"0,8","81,8",,,,,
,Ультразвуковая щёточка для лица,"Материал: абс+силикон
Размер: 7,3*7,2 см
Упаковка: заводская коробка
Цвета: можно настроить цвет клиента 
Примечания от фабрики: можно сделать кастом заводской коробки 

"," Дизайн: лого клиента могут сделать с помощью шелкографии, либо лазерной гравировки; место лого см. в доп.фото ",1000-3000,"9,0","834,7",55-60,"9,8","911,2",45-50,8 900,8,20-22,
,,,,4000,"7,2","671,1",,"8,0","747,7",,,,,
,,,,7000,"7,0","647,4",,"7,8","723,9",,,,,
,,,,24000,"6,5","608,3",65-70,"7,4","684,9",55-60,,,,
,,,,26000,"6,5","607,8",,"7,4","684,3",,,,,
,Маска лифтинг,"Материал: 80% полиэстер + 20% эластан
Упаковка: индивидуальная упаковка (могут упаковать в опп-пакет)
Цвет: розовый (только розовый, смена цвета невозможна)
Пять штук в одной упаковке", Дизайн: нет,1000-4000,"3,8","393,2",40-45 ,"4,2","434,2",30-35 ,2 300,1-2,11-13,
,,,,,,,,,,,,,,
,,,,7000,"3,7","378,1",,"4,0","434,2",,,,,
,,,,24000,"3,4","356,7",50-55,"3,8","434,2",40-45,,,,
,,,,26000,"3,2","343,0",,"3,7","434,2",,,,,
,Спонж,"Материал: гидрофильная эмульсия
Размер: 4*6 см
Упаковка: опп-пакетик
Цвет: по пантону клиента
", Дизайн: нет,4000,"0,7","68,8",40-45 ,"0,8","71,1",30-35,3 100,1-2,11-13,
,,,,,,,,,,,,,,
,,,,7000,"0,7","68,4",,"0,8","70,7",,,,,
,,,,24000,"0,7","67,4",45-55,"0,8","69,8",35-45,,,,
,,,,26000,"0,7","66,6",,"0,7","68,9",,,,,
,Электричсекая щётка для лица,"Материал: абс+силикон
Размер: 17,5*16,4*5,4 см
Упаковка: заводская коробка
Цвета: белый
Примечания от фабрики: TYPE-C, 5 В, 5 Вт, 500 мАч, 1,2А. Можно сделать кастом заводской коробки 

Есть 3 режима:
1. Базовый режим: вибрация + цветной свет EMS (три регулируемые передачи) 
2. Фототерапия для омоложения кожи: синий свет очищает и контролирует жирность кожи, фиолетовый свет улучшает тусклый красный свет, разглаживает морщины и омолаживает кожу. 
3. Импульсный режим: успокаивающий массаж и нежное очищение.", Дизайн: лого клиента могут сделать с помощью шелкографии; место лого - на ручке товара ,1000-3000,"15,0","1391,7",50-55,"16,0","1487,3",40-45,9 200,8,20-22,
,,,,4000,"13,3","1236,4",,"14,3","1332,0",,,,,
,,,,7000,"12,8","1190,8",,"13,8","1286,5",,,,,
,,,,24000,"12,3","1146,3",55-60,"13,4","1242,0",45-50,,,,
,,,,26000,"11,7","1091,4",,"12,8","1187,0",,,,,
,"Криомассажер для лица 
","Материал: стекло, антифриз, противоскользящая ручка
Размер: 5* 13 см
Упаковка: заводская коробка
Цвета: розовый, белый, голубой, фиолетовый
Примечание от фабрики:  в комплекте 2 массажера, можно сделать кастом заводской коробки

", Дизайн: лого клиента могут сделать с помощью шелкографии на ручке товара ,1000-3000,"4,8","445,5",50-55,"5,8","539,0",40-45,6 800,8,20-22,
,,,,4000,"4,8","441,6",,"5,8","535,0",,,,,
,,,,7000,,,,,,,,,,
,,,,24000,"4,7","438,5",60-65,"5,7","532,0",50-55,,,,
,,,,26000,,,,,,,,,,
,Криомассажер для лица ,"Материал: силикон
Размер: 61,5*111,5 мм
Упаковка: ОПП-пакет
Цвета: розовый, белый, голубой, фиолетовый, чёрный, синий

"," Дизайн: лого клиента могут сделать с помощью шелкографии на корпусе товара , место лого см. в доп.фото",1000-3000,"5,5","512,2",55-60,"6,1","567,8",45-50,13 200,10,22-24,
,,,,4000,"5,4","502,8",,"6,0","558,4",,,,,
,,,,7000,"5,4","497,1",65-70,"5,9","552,8",55-60,,,,
,,,,24000,"5,3","494,2",95-100,"5,9","549,9",85-90,,,,
,,,,26000,,,,,,,,,,
,Криомассажер для лица ,"Материал: нержавеющая сталь, пластик
Размер: 18,8*8,4 см 
Упаковка: заводская коробка
Цвета: белый
Примечание от фабрики: можно сделать кастом заводской коробки (срок поменяется тогда)

", Дизайн: лого клиента могут сделать с помощью тампопечати на ручке товара ,1000-3000,"5,6","521,9",70-75,"6,8","629,1",60-65,10 300,14,24-26,
,,,,4000,,,,,,,,,,
,,,,7000,"5,5","515,1",,"6,7","622,2",,,,,
,,,,24000,"5,2","485,0",100-105,"6,4","592,1",90-95,,,,
,,,,26000,"5,2","482,2",,"6,3","589,4",,,,,
,Криомассажер для лица ,"Материал: нержавеющая, противоскользящая ручка
Размер: 3*9,8 см
Упаковка: белая коробка с логотипом
Цвета: белый


"," Дизайн: лого клиента могут сделать с помощью лазерной гравировки, место лого см. в доп.фото",1000-3000,"5,2","480,8",70-75,"5,8","534,4",60-65,4 400,14,24-26,
,,,,4000,,,,,,,,,,
,,,,7000,"4,9","452,2",,"5,4","505,7",,,,,
,,,,24000,"4,6","424,8",100-105,"5,1","478,4",90-95,,,,
,,,,26000,"4,3","397,6",,"4,9","451,1",,,,,
,3D-маска для лица ,"Материал: шёлк и пена с эффектом памяти
Размер:  22,5* 8 см
Упаковка: пакет + заводская коробка 
Цвета: красный, фиолетовый, чёрный
Примечание от фабрики: возможен кастом заводской коробки 
"," Дизайн: лого клиента могут сделать с помощью термотрансфера, место логотипа см. в доп. фото",1000-3000,"3,1","284,3",70-75,"3,3","308,4",60-65,8 300,10,20-22,
,,,,4000,"3,0","274,8",,"3,2","299,0",,,,,
,,,,7000,,,,,,,,,,
,,,,24000,"2,8","260,9",80-85,"3,1","285,1",70-75,,,,
,,,,26000,,,,,,,,,,
,Упаковка мешочек,"Материал: бархат
Размер: можно настроить  
Упаковка: ОПП-пакет
Цвета: можно настроить


"," Дизайн: лого клиента могут сделать с помощью тиснения, место лого - лицевая стороны мешка",1000-3000,"1,0","92,2",50-55,"1,1","97,9",40-45,6 000,8,20-22,
,,,,4000,,,,,,,,,,
,,,,7000,,,,,,,,,,
,,,,24000,"0,9","85,1",60-70,"1,0","90,9",50-60,,,,
,,,,26000,,,,,,,,,,
,Упаковка мешочек,"Материал: холщовая ткань
Размер: можно настроить  
Упаковка: ОПП-пакет
Цвета: можно настроить


"," Дизайн: лого клиента могут сделать с помощью шелкографии, место лого - лицевая стороны мешка",1000-3000,"1,0","88,9",50-55,"1,0","94,1",40-45,6 000,8,20-22,
,,,,4000,,,,,,,,,,
,,,,7000,,,,,,,,,,
,,,,24000,"0,9","84,9",70-75,"1,0","90,1",60-65,,,,
,,,,26000,,,,,,,,,,
