 ,Мешок,"Материал: полиэстер 210 D, уголки ПУ, веревка полипропиленовое волокно
Размер: 400*330 мм, веревка диаметром 3 мм
Упаковка: опп пакет
Цвета: выкрас в цвет, близкий к пантону клиента"," Дизайн: : выкрас в цвет, близкий к пантону клиента + термотрансфер (примерно 50*50 мм)",40000,"1,1","108,9","1,75",60-65,,,,"14500
( образцец включает выкрас небольшого куска ткани в пантон + печать лого на мешке стокового цвета)",8,18-20,
,,,,18000,"1,1","115,3","1,8",60-65,,,,,,,
,,,,10000,"1,3","119,0","2
 но цена по новому курсу",60-65,,,,,,,
,,," Дизайн: сток цвет + термотрансфер (примерно 50*50 мм)

",4000,"1,4","121,6","2
 но цена по новому курсу","35-40
=
10 дней заявленное пр-во + 25-30 доставка",,,,8 000,6,16-18,
 ,Кодовый замок с тремя шестеренками,"Материал: цинковый сплав
Размер: см фото
Упаковка: опп пакет
Цвета: см доп фото", Дизайн: шелкография 3 цвета + наклейка для письма маркером на обратной стороне (примерно 8*20 мм),40000,"0,9","88,6","1,7",70-75,,,,8 900,10,20-22,
,,,,18000,"0,9","94,3","1,75",65-70,,,,,,,
,,,,10000,"1,0","96,0","1,85
 но цена по новому курсу",65-70,,,,,,,
,,,,4000,"1,1","100,8","2
 но цена по новому курсу","60-65
=
35 дней заявленное пр-во + 25-30 доставка",,,,,,,
,,," Дизайн: шелкография 2 цвета + наклейка для письма маркером на обратной стороне (примерно 8*20 мм) 
+ выкрас в пантон",40000,"0,9","87,1","1,7",70-75,,,,,,,
,,,,18000,"0,9","92,8","1,75",65-70,,,,,,,
,,,,10000,"1,0","94,5","1,85
 но цена по новому курсу",65-70,,,,,,,
,,,,4000,"1,1","99,3","2
 но цена по новому курсу","60-65
=
35 дней заявленное пр-во + 25-30 доставка",,,,,,,
 ,Шоппер,"Материал: 100% хлопок
Размер: 35х38х5 см, ручки: 54х2,5 см
Упаковка: опп пакет
Цвета: выкрас в цвет, близкий к пантону клиента

ПОСЧИТАНО ЖД ДОЛГОЕ"," Дизайн: : выкрас в цвет, близкий к пантону клиента + печать шелкография два цвета, двухсторонняя",10000,"2,2","203,6","1,4",50-55,,,,4 100,5,15-17,
,,,,18000,"2,1","197,8","1,4",50-55,,,,,,,
,,,,40000,"2,1","196,0","1,4",50-55,,,,,,,
,,,,4000,"2,8","247,4","1,4",50-55,,,,,,,
