,,,,200,"160,83","14 474,66",75-80,,,,,,,
 ,Полароид,"Материал: пластик, электронные компоненты
Размер: примерно 15*12*7 см
Упаковка: заводская коробка
Примечание от фабрики: 
В наборе: пленка для полароида(5 или 10 шт.), чехол, батарейки, ремешок, инструкция к использованию (русский язык)
Подходит как пленка Fuji, так и Instax
Технические характеристики:
Несколько режимов съемки
Размер карточки для фото: 4*6 см
Доп. кастом:
1. Ремешок по макету клиента, маериал обсуждается
2. Чехол из плотного прозрачного пластика по форме фотоаппарата"," Дизайн: 
1. Кастом цвета полароида (цвет любой детали), выкрас в пантон клиента
2. Запечатка прозрачного чехла по макету клиента, шелкография
3. Печать лого шелкография на корпусе фотоаппарата
4. Кастомный ремешок в комплекте (печать на ремешке, отвяз по цвету, близкому к пантону клиента)
5. Кастом заводской коробки при необходимости
6. Возможен кастом корпуса (отлив по макету клиента, вдавленная/выпуклая буква или лого)",8000,"138,23","12 440,62",85-90,"141,28","12 715,05",75-80,17 500,20,30-32,
,,,,200,"159,52","14 356,96",75-80,,,,,,,
 ,Полароид,"Материал: пластик, электронные компоненты
Размер: примерно 15*12*7 см
Упаковка: заводская коробка
Примечание от фабрики: 
В наборе: пленка для полароида(5 или 10 шт.), чехол, батарейки, ремешок, инструкция к использованию (русский язык)
Подходит как пленка Fuji, так и Instax
Технические характеристики:
Несколько режимов съемки
Размер карточки для фото: 4*6 см
Доп. кастом:
1. Ремешок по макету клиента, маериал обсуждается
2. Чехол из плотного прозрачного пластика по форме фотоаппарата"," Дизайн: 
1. Кастом цвета полароида (цвет любой детали), выкрас в пантон клиента
2. Запечатка прозрачного чехла по макету клиента, шелкография
3. Печать лого шелкография на корпусе фотоаппарата
4. Кастомный ремешок в комплекте (печать на ремешке, отвяз по цвету, близкому к пантону клиента)
5. Кастом заводской коробки при необходимости
6. Возможен кастом корпуса (отлив по макету клиента, вдавленная/выпуклая буква или лого)",8000,"142,88","12 858,79",85-90,"145,92","13 133,21",75-80,17 500,20,30-32,
,,,,200,"164,43","14 798,35",75-80,,,,,,,
 ,Стикерпак,"Материал: бумага, ПВХ
Размер:  70*125 ММ
Упаковка: индивидуальный ОПП пакетик", Дизайн: кастомный стикерпак (примерно 10-12 дизайнов на листе),8000,"0,48","42,91",35-40,,,,10 500,3,13-15,
,,,,200,"2,39","214,90",35-40,,,,,,,
 ,Чехол для камеры ,"Материал: ПВХ
Размер: по макету клиента
Цвета: см. доп. фото
Упаковка: полиэтиленовый пакетик
Примечания от фабрики: можно поменять цвет ремешка "," Дизайн: кастом по макету клиента , можно сделать полную запечатку - цифровая печать или шелкография (в зависимости от того, какой дизайн) ",8000,"4,58","412,21",65-70,"4,95","445,87",55-60,8 300,7,17-19,
,,,,200,"5,95","535,87",65-70,,,,,,,
 ,Хлопушка,"Материал: 
Размер: 
Цвета: 
Упаковка: 
Примечания от фабрики: "," Дизайн: Запечатка корпуса, подбор цвета металлизированного конфетти, конфетти в виде лого (кастом по макету клиента)",8000,"3,17","285,50",60-65,"3,78","339,95",50-55,6 000,15,25-27,
,,,,200,"3,97","356,88",,"4,72","424,94",,,,,
 ,Вендинговый аппарат,"Материал: купол ПК, корпус АБС, металлический механизм
Размер: 21*21*45 см
Цвет подставки: выкрас в Пантон
Упаковка: индивидуальная - коробка
Примечания от фабрики: подходит для конфет размером 1-1,4 дюйма", Дизайн: внутрь купола можно добавить фигурку/букву/простое лого (см. доп.фото) - материал обсуждаем: смола/пластик,8000,"130,15","11 713,11",115-175,"160,07","14 405,91",105-165,-,30,42-45,
,,,,200,,,,,,,,,,
