",03,202",,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Катя, ,"светильник/лампа

АНАЛОГ","Материал: пластик
Размер: в доп фото
Упаковка: коробка
Примечание от фабрики: нужны серты ДС + СС (100 000 тыс руб, в стоимость входит)"," Дизайн: цвет фиолетовый сток, лого декоративные наклейки",2200,"4,4","389,1",45-50,"5,4","476,9",35-40,4 350,4,14-16,
,,,,,,,,,,,,,,,
Катя, ,"светильник/лампа

","Материал: кованое железо, акрил
Размер: 12 х 22 см
Упаковка: белая коробка
Примечание от фабрики: нужны серты ДС + СС (100 000 тыс руб, в стоимость входит)"," Дизайн: цвет фиолетовый сток, лого 1 цвет шелкографией",2200,"33,4","3036,1",60-65,"48,6","4454,8",50-55,14 500,7,17-19,
,,,,,,,,,,,,,,,
Света Ч, ,"Набор для коктейлей
","Шейкер 0,5 л:
Размер: D88 × D60 × H140 мм
Материал: нержавеющая сталь 304
Вес: 130 г
Толщина: 0,6 мм
Обработка поверхности: пескоструйная обработка внутри, снаружи покрытие цветным лаком, 1 место с белым шёлкографическим логотипом
Шейкер 0,7 л:
Размер: D92,5 × D62 × H160 мм
Материал: нержавеющая сталь 304
Вес: 168 г
Толщина: 0,6 мм
Обработка поверхности: пескоструйная обработка внутри, снаружи покрытие цветным лаком, 1 место с белым шёлкографическим логотипом
Фильтр:
Размеры: W92 × L140 × H19 мм
Материал: нержавеющая сталь 304
Вес: 51 г
Толщина: 1 мм
Барная ложка:
Размеры: L270 × W28 × D25 мм
Материал: нержавеющая сталь 304
Вес: 35 г
Толщина: 1 мм
Дозатор 15/30 мл:
Размеры: D39 × D39 × H95 мм
Материал: нержавеющая сталь 304
Вес: 36 г
Толщина: 0,6 мм
Наливник:
Размеры: D30 × H117 мм
Материал: нержавеющая сталь 304
Вес: 15 г
"," Дизайн: выкрас внешней поверхности шейкера в пантон, нанесение логотипа шелкография",2200,"19,8","1680,9",75-80,"22,1","1874,2",65-70,17 900,7,17-19,
Аня, , музыкальную шкатулку (строка 6):  https://docs.google.com/spreadsheets/d/1fPIpY7lG-cgQnn_Gj2NvtTgEF82Wn-DfyDCh0p7xmDA/edit?gid=1049989...,"Материал: дерево
Размер: 8,5*8,5*6см
Упаковка: сток коробка
Примечание от фабрики: необходимо подтверждение по образцу", Дизайн: лазерный логотип,2200,"31,8","2706,2",50-55,"35,1","2979,3",40-45,13 800,7,17-19,
Арина, ," Шахматы
https://docs.google.com/spreadsheets/d/1EDm5M_HGvXDUSJ15VSzTXLwc90lR2GLZlis-1tNkVRA/edit?gid=8585842...

Шахматы с выкрашенными в индивидуальный цвет (близко к пантону) фигурами (стандартная форма фигурок) (строки 8-10)","Материал: кожзам на выбор из раскладки фабрики
Размер: 25*41 см (в развороте)
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитана стоимость набора с выкрашенными в индивидуальный цвет (близко к пантону) фигурами (стандартная форма фигурок) - 32 шт","Дизайн: 
- Уф-печать поля (цвета можно настроить в пантон)
- Тиснение лого на боковых частях карманов и на кожаных язычках
- Края поля и застежки прошиты в тон кожи
",2200,"19,3","1640,4",70-75,"20,8","1766,2",60-65,25 000,20,30-32,
Арина, ,"Нарды
https://docs.google.com/spreadsheets/d/1EDm5M_HGvXDUSJ15VSzTXLwc90lR2GLZlis-1tNkVRA/edit?gid=8585842...

Нарды с перламутровыми фишками в пантон (и кубики) (строки 15-17)","Материал: кожзам на выбор из раскладки фабрики
Размер: 25*41 см (в развороте) - все по макету 
Упаковка: OPP пакет
Примечание от фабрики: 
*посчитана стоимость набора с перламутровыми фишками в пантон (и кубики) - 30 фишек, 5 кубиков","Дизайн: 
- Уф-печать поля (цвета можно настроить в пантон)
- Тиснение лого на боковых частях карманов и на кожаных язычках
- Края поля и застежки прошиты в тон кожи
- Утяжелитель в крае поля ",2200,"30,2","2568,1",70-75,"31,3","2663,9",60-65,25 000,20,30-32,
Катя, ,"набор с чайником и чайными парами (можно, чтобы было 2 пары, не 4)

Цвет: фиолетовый","Материал: термостойкое стекло
Размер: в доп фото
Упаковка: коробка
"," Дизайн: лого, фиолетовый цвет (сток), изменить цвет нельзя, в комплекте 2 чайные пары",2200,"14,5","1251,7",55-60,"15,6","1357,7",45-50,37 300,15,25-27,
,,,,,,,,,,,,,,,
Саша, ,"набор с чайником и чайными парами (можно, чтобы было 2 пары, не 4)
Цвет: фиолетовый","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,2200,"18,1","1535,5",55-60,"19,4","1649,3",45-50,33 200,15,25-27,
