 ,,,ВНИМАНИЕ! Все цены и сроки примерные!,,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
,,,,,500,"6,0","574,4","478,7",,,,
,多功能烧水杯户外旅行便携插电式烧水壶恒温壶电热水杯保温杯礼品 (1688.com),Термокружка с экраном,"Материал: нержавейка SUS304, пластик 
Размер: 23*8,5 см
Объём: 450 мл
Номинальная мощность 300 Вт
Частота напряжения 200 В~50 Гц
Брендирование: шелкография 1 цвет
Упаковка: заводская упаковка

Также необходимы ДС+СС, примерно 100 тысяч рублей (в стоимость не включено)","1,8",200,"25,5","2401,6","2001,3",40-45 кд,9000,"6-8 кд фото и видео

12-14 кд доставка в Мск",
,,,,,300,"25,4","2398,6","1998,8",,,,
,,,,,400,"25,4","2397,1","1997,6",,,,
,,,,,500,"25,4","2396,2","1996,8",,,,
,爆款铝合金笔记本支架N3桌面折叠便携式升降电脑架平板散热支撑架 (1688.com),Подставка под ноутбук,"Материал: алюминиевый сплав
Размер: 25,5х4,5х2.5 см
Цвет: серебристый, серый, черный
Брендирование: шелкография либо лазерная гравировка
Упаковка: мешочек и фабричная коробка","2,7",200,"11,5","1081,6",,50-55 календ.дней ,10500 руб,"7-10 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,"2,65",300,"11,2","1057,2",,,,,
,,,,"2,6",400,"11,0","1035,1",,,,,
,,,,"2,5",500,"10,6","994,0",,,,,
,"https://detail.1688.com/offer/778056293256.html?spm=a26352.b28411319.offerlist.1.140c1e62Dk34Vq&cosite=-&tracelog=p4p&_p_isad=1&clickid=025d84e6dd124a24a6104753b2d36936&sessionid=ef9d6888fa729561eeaa1feff4945749 


https://detail.1688.com/offer/639846665639.html?spm=a26352.b28411319.offerlist.1.59171e62R11XXX&cosite=-&tracelog=p4p&_p_isad=1&clickid=720aea01b30546368903fac4332b4111&sessionid=78ce476a7807e69b650d1890f6d4a127",Несессер,"Материал: натуральная кожа
Размер: 20х10х10
Цвет: черный, желтый
Брендирование: тиснение
Упаковка: прозрачный пакет","2,7",200,"24,5","2266,4",,50-55 календ.дней ,"15000 he,","7-10 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,"2,65",300,"23,0","2136,6",,,,,
,,,,"2,6",400,"22,1","2053,2",,,,,
,,,,"2,5",500,"20,8","1933,6",,,,,
,现货无线蓝牙音箱话筒k歌一体音响卡拉ok户外低音炮家用麦克风 (1688.com),Караоке с 2 микрофонами,"Материал: пластик
Размер: 97х115 мм
Цвет: черный, белый, розовый
Bluetooth 5.3
Мощность динамика: 7 Вт
Рабочее напряжение: 3,7 В
Аккумулятор: 2500Мач

Брендирование: шелкография
Упаковка: фабричная цветная коробка

Требуется оформление ДС и СС, порядка 120 тыс руб, не включено в стоимость","2,7",200,"48,8","4681,5",,50-55 календ.дней ,11700 руб,"7-10 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,"2,65",300,"47,8","4590,4",,,,,
,,,,"2,6",400,"46,9","4501,6",,,,,
,,,,"2,5",500,"45,1","4327,2",,,,,
,跨境投影仪家庭影院安卓高清宿舍用家用无线投影机手提投影仪批发 (1688.com),Проектор 1,"Материал: пластик
Размер: 130х126х152 мм
Цвет: белый
Размер проекции: 50-120 дюймов
Разрешение: 1036*600
Яркость: 180АНСИ
Поддержка: U-диск/съемный жесткий диск
Источника света: ≥30000 часов
Операционная система: Андроид 9.0
Расстояние проецирования: 1,3-5 метров
Дистанционное управление

Нанесение логотипа в один цвет
Упаковка в фабричную коробку","1,9",200,"69,7","6469,7",,50-55 календ.дней ,14500 руб,"7-10 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,"1,85",300,"67,8","6296,4",,,,,
,,,,"1,8",400,"66,0","6124,7",,,,,
,,,,"1,7",500,"62,3","5783,6",,,,,
,Нам нужен другой,Проектор 2,"Материал: пластик
Размер: 12х10х11 см
Цвет: черный, желтый
Разрешение: 480 x 320
Поддержка разрешения: 1080p
Яркость 1000 люмен
Расстояние проецирования: 0,5-3 м
Размер изображения: 15-100 дюймов
Поддержка: HDMI, USB, слот для TF-карты
Bluetooth: Не поддерживается
Источник питания: 12 В
Встроенные динамики: Да

Нанесение логотипа в один цвет
Упаковка в фабричную коробку","1,9",200,"69,3","6407,4",,50-55 календ.дней ,15600 руб,"7-10 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,пересчитывать некогда,,,"1,85",300,"67,5","6235,7",,,,,
,,,,"1,8",400,"65,6","6065,7",,,,,
,,,,"1,7",500,"62,0","5727,9",,,,,
,72骨全自动太阳伞蕉 下三折晴雨两用雨伞便携口袋防紫外线遮阳伞 (1688.com),Зонт,"Материал: зонтичная противоударная ткань, пластик, металл.каркас
Размер: 23 дюйма, 12 спиц
Цвет: черный+желтый
Брендирование: шелкография в 2 цвета
Упаковка: прозрачный пакет","2,7",200,"29,4","2754,3",,50-55 календ.дней ,16000 руб,"7-10 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,"2,65",300,"28,4","2657,1",,,,,
,,,,"2,6",400,"27,4","2563,9",,,,,
,,,,"2,5",500,"25,9","2424,6",,,,,
,https://detail.1688.com/offer/670964073291.html?spm=a26352.13672862.offerlist.86.5587743bzeZ8u4,Гирлянда,"Материал: пластик, фанера
Размер: 1,5 м, 10 лампочек
Брендирование: настройка цвета (черный+желтый), возможно нанесение логотипа
Упаковка: прозрачный пакет","2,7",200,"6,9","638,0",,50-55 календ.дней ,14600 руб,"7-10 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,"2,65",300,"6,7","621,8",,,,,
,,,,"2,6",400,"6,5","607,9",,,,,
,,,,"2,5",500,"6,3","583,3",,,,,
,家用电动爆米花机 吹风式迷你爆玉米包谷机 电热爆玉米机 爆谷机 (1688.com),Машина для попкорна,"Материал: пластик
Размер: 16,5x12x26,5 см
Напряжение: 110–240 В
Номинальная частота: 50 ~60 Гц
Номинальная мощность: 1200 Вт
Брендирование: лазерная гравировка
Упаковка: заводская упаковка

Также необходимы ДС+СС, примерно 100 тысяч рублей (в стоимость не включено)
",2,200,"23,3","2238,5","1865,4",40-45 кд,7000,"4-6 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,,300,"23,3","2235,5","1862,9",,,,
,,,,,400,"23,3","2234,0","1861,7",,,,
,,,,,500,"23,2","2233,1","1860,9",,,,
,178四合一无线充电器 magsafe适用苹果手机创意礼品多功能无线充 (1688.com),Мульти-зарядка для нескольких устройств,"Материал: цинковый сплав +АБС+акрил
Размер: 184*113*65 мм
Цвета: белый, черный
Входные параметры: 9В 2А
Выходные параметры: 5 Вт/7,5 Вт/10 Вт/15 Вт
Способ интерфейса: Тип-C/USB
Эффективность преобразования: ≤72%
Индукционное расстояние: 2-10 мм
Брендирование: печать 1 цвет
Упаковка: заводская упаковка
","1,9",200,"22,1","2056,7","1713,9",50-55 кд,11500,"8-10 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,,300,"22,1","2053,5","1711,3",,,,
,,,,,400,"22,1","2052,0","1710,0",,,,
,,,,,500,"21,4","1991,2","1659,3",,,,
,https://detail.1688.com/offer/647035913987.html?spm=a26352.b28411319.offerlist.21.42d11e62Hj5doV,Ночник-колонка-беспроводная зарядка,"Материал: АБС
Размер: 226*126*57 мм
Цвета: белый, мрамор, деревянный
Брендирование: лого лазер на поверхности
Упаковка: заводская упаковка
","от 2 до 1,8",200,"60,0","5564,3","4636,9",40-45кд,4500,"7-9 фото/видео


19-21 с доставкой в Москву",
,,,,,300,"58,5","5422,0","4518,3",,,,
,,,,,400,"57,0","5281,3","4401,1",,,,
,,,,,500,"54,0","5002,5","4168,7",,,,
,https://detail.1688.com/offer/669277874783.html?_t=1723711490272&spm=a2615.7691456.co_0_0_wangpu_score_0_0_0_0_0_0_0000_0.0,Елочный шар 8см с лого.,"Материал: стекло
Размер: 8см
Брендирование: лого рулонной печатью
Упаковка: заводская коробка

Доставка АВИА","2,5",200,"4,5","415,5","346,3",35-40 календ.дней,7500,"8-10 - фото/видео

12-14 - доставка в Москву",
,Фотоаппарат  Fujifilm/instax mini12,https://item.taobao.com/item.htm?_u=t2dmg8j26111&id=805700255470&spm=a1z0k.7628869.0.0.457937de6DLC2S,"Материал: пластик
Цвет: белый, розовый, голубой

Без брендирования

Альтернативная доставка","1,7",200,"178,4","16460,0","13716,7",40-45 календ.дней,20300 руб,12-14 календ.дней,
,Бумага к  Fujifilm/instax mini12,https://item.taobao.com/item.htm?_u=t2dmg8j26111&id=808340070635&spm=a1z0k.7628869.0.0.7c3837denKRoqa,"Цвет: белый
10 листов в упаковке

Без брендирования

Альтернативная доставка","1,7",200,"19,9","1839,7","1533,1",40-45 календ.дней,4300 руб,12-14 календ.дней,
,Фотоаппарат Popoto,https://detail.1688.com/offer/794705463708.html?spm=a21lca.1688_web_im.0.0,"Материал: пластик
Цвет: белый, розовый, голубой, зеленый

Нанесение логотипа шелкографией, с логотипом производителя

Альтернативная доставка","1,7",200,"101,5","9380,6","7817,2","Без лого: 
40-45 календ.дней

С лого:
50-55 календ.дней","С лого:
16000 руб

Без лого:
11400 руб","8-10 - фото/видео

12-14 - доставка в Москву",
,Бумага к Popoto,https://detail.1688.com/offer/794705463708.html?spm=a21lca.1688_web_im.0.0,"Цвет: белый
10 листов в упаковке

Без брендирования

Альтернативная доставка","1,7",200,"16,1","1489,8","1241,5",40-45 календ.дней,3900 руб,12-14 календ.дней,
,,Принтер Xiaomi,"Материал: пластик
Цвет: белый

Без брендирования

Альтернативная доставка","1,7",200,"110,8","10214,6","8512,2",40-45 календ.дней,12800 руб,12-14 календ.дней,
,,Бумага к принтеру Xiaomi,"Цвет: белый

Без брендирования

Альтернативная доставка","1,7",200,"49,3","4548,3","3790,2",40-45 календ.дней,6600 руб,12-14 календ.дней,
,,Плед вязанный с тканевой биркой,"Материал: смешанная шерсть
Размер: 150х200 см
Цвет: серый

Логотип: тканевая бирка

Доставка Авиа",2,200,"75,7","6962,9","5802,4",40-45 календ.дней,20500 руб,"7-9 - фото/видео

12-14 - доставка в Москву",
,https://detail.1688.com/offer/730753787295.html?_t=1721825936101&spm=a2615.7691456.co_0_0_priceup_0_0_0_0_0_0_0000_0.0,Плед,"Материал: флис
Размер: 150х200 см

Логотип: вышивка

Достака Авиа",2,200,"31,0","2847,8","2373,1",30-35 календ.дней,8200 руб,"5-7 - фото/видео

12-14 - доставка в Москву",
,,Доска деревянная,"Материал: клееное дерево
Размер: 34х24х2.5см

Логотип: лазрная гравировка

Доставка Авиа

Минимальный тираж 300шт",2,300,"45,0","4144,0","3453,3",40-45 календ.дней,16700 руб,"5-7 - фото/видео

12-14 - доставка в Москву",
,https://detail.1688.com/offer/698696815316.html?spm=a26352.b28411319.offerlist.80.13951e62EK2rFR,Доска деревянная,"Материал: клееное дерево
Размер: 34х24х2.5см

Логотип: лазрная гравировка

Доставка Авиа
",2,200,"30,4","2967,5","2472,9",45-50 календ.дней,16700 руб,"5-7 - фото/видео

12-14 - доставка в Москву",
Коробки,,,,,,,,,,,,
,https://detail.1688.com/offer/627939059237.html?spm=a26352.b28411319.offerlist.37.2e971e62lDoDTc,Коробка подарочная,,,,,,"2500,0",,36,,
,https://detail.1688.com/offer/613468949687.html?spm=a260k.dacugeneral.0.0.4c8d35e4iUOMSr&cosite=-&tracelog=p4p&_p_isad=1&clickid=38bccc2048e54410a126181039660075&sessionid=18d247cca5f0a79f6941336fe8828937,Коробка подарочная,,,,,,"2800,0",,,,
,https://detail.1688.com/offer/624516062363.html?spm=a26352.b28411319.offerlist.93.285b1e62pbbY6D,Коробка подарочная,,,,,,"2700,0",,,,
,,Подарочная упаковка: коробка и пакет,"Материал: картон
Размер: 30*25*20 см

По макету заказчика","2,5",200-300,"33,4","3073,9","2561,6","20-25 календ.дней - без доставки

50-55 календ.дней - с доставкой в Москву",36000 руб,"7-10 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,,500,"27,3","2512,3","2093,6",,,,
,,Подарочная упаковка: коробка и пакет,"Материал: картон
Размер: 22*20*15 см

По макету заказчика","2,5",200-300,"27,7","2547,5","2122,9","20-25 календ.дней - без доставки

50-55 календ.дней - с доставкой в Москву",36000 руб,"7-10 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,,500,"22,4","2061,1","1717,6",,,,
,,Подарочная упаковка: коробка и пакет,"Материал: картон
Размер: 35*25*20 см

По макету заказчика","2,5",200-300,"33,8","3109,5","2591,3","20-25 календ.дней - без доставки

50-55 календ.дней - с доставкой в Москву",36000 руб,"7-10 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,,500,"27,7","2551,9","2126,6",,,,
,,Подарочная упаковка: коробка и пакет,"Материал: картон
Размер: 25*25*25 см

По макету заказчика","2,5",200-300,"36,2","3327,2","2772,7","20-25 календ.дней - без доставки

50-55 календ.дней - с доставкой в Москву",36000 руб,"7-10 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,,500,"32,2","2963,5","2469,6",,,,
,,Подарочная упаковка: коробка и пакет,"Материал: картон
Размер: 35*35*35 см

По макету заказчика","2,5",200-300,"47,9","4407,7","3673,1","20-25 календ.дней - без доставки

50-55 календ.дней - с доставкой в Москву",36000 руб,"7-10 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,,,500,"40,8","3751,1",,,,,
