 ,Кросс-боди сумка,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Размер: 36 х 33 х  11,5 см.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.", Дизайн: полный кастом по макету клиента,300,"8,9","829,3",85-90,"9,48","882,01",75-80,"4 000,00",25,35-37,
,,,,500,"8,6","799,8",,"9,17","852,54",,,,,
,,,,1500,"8,5","792,7",,"9,09","845,39",,,,,
,,,,2000,"8,3","768,6",,"8,81","819,71",,,,,
 ,Чехол для ноутбука,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте
Персонализация: Индивиудальный паттерн", Дизайн: полный кастом по макету клиента,300,"16,4","1526,0",85-90,"18,02","1 676,17",75-80,"5 000,00",21,31-33,
,,,,500,"16,1","1496,5",,"17,71","1646,7",,,,,
,,,,1000-1500,"15,9","1481,2",,"17,54","1631,39",,,,,
,,,,2000,"15,5","1436,8",,"17,02","1582,59",,,,,
,Сумка для аккумулятора,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте
Персонализация: Индивиудальный паттерн", Дизайн: полный кастом по макету клиента,300,"5,7","526,3",85-90,"5,94","552,66",75-80,"3 000,00",21,31-33,
,,,,500,"5,5","510,4",,"5,77","536,79",,,,,
,,,,1000-1500,"5,3","495,1",,"5,61","521,49",,,,,
,,,,2000,"5,2","479,8",,"5,43","505,33",,,,,
 ,Брелок с металлическим шильдом,"Материал: полиэстер, жаккардовая ткань, металлический сплав
Длина: 18 см
Диаметр шильда: 3 см
Персонализация: эмбоссинг", Дизайн: эмбоссинг лого клиента + выкрас нитей в пантон,300,"2,0","216,0",85-90,"1,9","205,2",85-90,"7 800,00",15,25-27,
,,,,500,"2,0","205,8",,"1,9","195,5385",,,,,
,,,,1000-1500,"1,8","181,7",,"1,672","172,5675",,,,,
,,,,2000,"1,5","150,9",,"1,3965","143,3645",,,,,
 ,Шоппер с плотным дном,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.", Дизайн: полный кастом по макету клиента,300,"20,8","1892,7",85-90,"22,89","2 082,05",75-80,"5 000,00",21,31-33,
,,,,500,"20,5","1864,3",,"22,47","2 050,65",,,,,
,,,,1000-1500,"19,8","1809,8",,"21,84","1 990,80",,,,,
,,,,2000,"19,2","1742,7",,"21,1","1 916,98",,,,,
 ,Поясная сумка новый образец,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Размер: 13 х 20 см.
Упаковка: индивидуальный пакет
Примечание от фабрики: Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.", Дизайн: полный кастом по макету клиента,300,"10,5","984,7",85-90,"11,55","1 083,17",75-80,"6 800,00",21,31-33,
,,,,500,"10,3","967,5",,"11,33","1 064,25",,,,,
,,,,1000-1500,"10,0","936,1",,"10,9","1 029,71",,,,,
,,,,2000,"9,7","905,3",,"10,67","995,83",,,,,
