ID,Название,Ошибок,Всего,%,URL
144,[Просчет-РФ] Лаура Иллан /Ремувка,2,2,100.0%,https://docs.google.com/spreadsheets/d/1J2YJ5PQnJLgfrZP_G41a8fIyo9iNfBuWsdXMfLJItzk
146,[Просчет] Екатерина Елагина / фарфор 500 и 100 24-07-2025,2,18,11.1%,https://docs.google.com/spreadsheets/d/1PPGk2HUmpDWAq01vlCcTC-AN5EKIBrXduLLWTKzkr9Y
152,"[Просчет-РФ] Запрос на ланьряды, сумки и шнурки.000006044 к НГ",2,28,7.1%,https://docs.google.com/spreadsheets/d/1VW8ynZ9Ee63DuB4UMYXCWIOTPgk7-pa4EQ7TbUxeCU8
161,[Просчет] Михалева Екатерина / Ежедневник Olimbet 23-07-2025,2,4,50.0%,https://docs.google.com/spreadsheets/d/1MX64VGTogTrsz_W1uc2YAm7bKAtOr4mDq-0THPIUHeY
162,[Просчет] Екатерина Елагина / елочные игрушки ромб 22-07-2025,2,4,50.0%,https://docs.google.com/spreadsheets/d/1yAaSS14phTP1AmTGef3v5L2sTjuK-x7tAeA7bsK-P3A
330,[Просчет-РФ] Ложечки с изменением цвета от холода_сток_810 шт,2,2,100.0%,https://docs.google.com/spreadsheets/d/1s4D33TEj6gwOS3U05QaC1pC653SmAmxEclSjlSemX8Y
2253,[Просчет] Елизавета Постных Иллан / Матрешки_500/1000_МТС Live_КГИ_ММ 25-07-2025,2,6,33.3%,https://docs.google.com/spreadsheets/d/1vvICu0ihHoVoHJobsM-qgI804w-oDXaMKv-UzDadyCY
2263,[Просчет-РФ] Брелок/ 25.07.2025,2,2,100.0%,https://docs.google.com/spreadsheets/d/1MM-2kp-gOGALxmpRV8TZuhXvcl_eJ5dpSrZsX7YvUkM
2264,"[Просчет] ООО ""КАСТОМЛАБ"" / Умный чемодан 25-07-2025",2,4,50.0%,https://docs.google.com/spreadsheets/d/1ZAM0MLS8xzPPmuJ5OKW9QrS4w8EHBVpyyfzOEKUMwZw
111,[Просчет-РФ] Заявка на расчет изготовления упаковки,1,3,33.3%,https://docs.google.com/spreadsheets/d/1c7pie7oBaJn_kr0v6SKfN7hb7cis5q9bQ9baYNxyIvM
127,"[Просчет] ООО ""КГИ"" / Пуллеры серые 29-07-2025",1,5,20.0%,https://docs.google.com/spreadsheets/d/1RCbt6Th-rMAZodVR4tTrTyJlb2ODlLX1VxiBTGUC58M
