Название,Фото,Фото 2,Можно,hard forbid,,
Пакеты,,,"Изменить цвет и материал (бумага, ПЭ, крафт, ткань, фольгированный)

Нанести логотип (шелкография, офсет, тиснение, УФ, флексопечать, запечатка паттерном)

Выбрать вид ручек (шнурки, высеченные, петли)

Сделать ламинацию (глянцевая, матовая, софт-тач)

Изменить размер, форму","Пакет должен оставаться пакетом
Нельзя делать ручки из непрочных материалов",,
Косметичка,,,"Изменить цвет ткани, молнии, подкладки, бегунков
Изменить форму, добавить отделения, карманы
Выбрать материал (полиэстер, нейлон, экокожа, ПВХ, прозрачный пластик и др.)

Нанести логотип (шелкография, термоперенос, вышивка, нашивка, УФ-печать)

Добавить декоративные элементы (брелок, бирка, подвеска)

Индивидуальная упаковка

Добавить лого на водонепроницаемую пвх молнию","Косметичка должна оставаться косметичкой
Нельзя печатать на рельефных швах и молнии",,
Плед,,,"Изменить цвет и материал (флис, микрофибра, шерсть, акрил и др.)

Добавить вышивку, жаккардовую бирку, нашивку

Индивидуальная упаковка (лента, тубус, сумка)
",Плед должен оставаться пледом,,
Увлажнитель,,,"Изменить цвет корпуса и кнопок (матовый, глянцевый, софт-тач)

Нанести логотип (шелкография, УФ-печать, лазерная гравировка)

Добавить индивидуальную упаковку

Изменить цвет подсветки","Нельзя менять форму корпуса, крышки или резервуара

Нельзя наносить логотип на решётки, отверстия для пара или рельефные участки",,
Массажер,,,"Изменить цвет корпуса

Нанести логотип (тампонная печать, УФ, лазерная гравировка, шелкография)

Индивидуальная упаковка, мешочек
","Нельзя менять форму и конструкцию корпуса, насадок, кнопок
Нельзя нанести логотип на насадки
Нельзя нанести логотип на узких или рельефных участках
Нельзя наносить логотип на зоны нагрева, вибрации или изгибов",,
Проектор,,,"Изменить цвет корпуса (матовый, глянцевый, металлический эффект)

Нанести логотип (лазерная гравировка, шелкография, УФ-печать)

Индивидуальная упаковка

Добавить аксессуары (футляр, тряпочка для оптики, кабель брендированный)","Нельзя менять форму корпуса, линзы, вентиляционные зоны

Нельзя печатать на решётках охлаждения и линзе",,
Дождевик,,,"Изменить цвет материала, пуговиц, застёжек, шнурков, фурнитуры

Добавить карманы, козырек

Нанести логотип шелкографией, термотрансфером, УФ-печатью

Индивидуальная упаковка (мешочек, чехол, коробка)

Возможна контрастная отделка (по краям, швах)","Нельзя наносить печать на зоны сгибов

Нельзя использовать вышивку 

Нельзя менять форму
",,
Гирлянда,,,"Изменить цвет подсветки
Изменить длину
Изменить форму лампочек
Нанести логотип на контроллер или блок питания (тампонная печать, гравировка)

Индивидуальная упаковка, брендированная коробка
","Нельзя печатать на лампочках и проводах 
Нельзя менять цвет провода
Нельзя добавлять фурнитуру",,
Магниты,,,"Изменить форму, размер, материал (металл, пластик, акрил, дерево)

Нанести изображение УФ-печатью, шелкографией, сублимацией

Добавить заливку смолой, гравировку, индивидуальную упаковку

Сделать фигурную вырубку под логотип",Магнит должен оставаться магнитом,,
Таблетница,,,"Изменить цвет корпуса и крышки

Нанести логотип снаружи (тампонная печать, УФ, шелкография, лазерная гравировка)

Индивидуальная упаковка

Добавить аксессуар (мешочек, футляр)","Нельзя менять форму и размер

Нельзя печатать внутри изделия

Нельзя менять материал",,
Маска для сна,,,"Изменить цвет ткани, резинки
Изменить форму
Нанести логотип на лицевую часть маски (вышивка, шелкография, термотрансфер)

Использовать индивидуальную упаковку

Добавить декоративные элементы (кант, бирка, мешочек)
","Нельзя наносить печать на внутренней стороне
Нельзя добавлять твердую фурнитуру
Маска должна оставаться маской",,
Карман для бейджа,,,"Изменить цвет пластика или ткани

Добавить логотип шелкографией, УФ или гравировкой (если пластик)

Вариации креплений: клип, шнур, ретрактор

Индивидуальная упаковка или комплект с ланьярдом","Нельзя менять стандартный размер окна под бейдж

Нельзя печатать на прозрачных участках — теряется читаемость

Нельзя использовать наклейки (портят прозрачность)

Нельзя делать рельеф, мешающий вставке карточки",,
Чехол для ноутбука,,,"Изменить цвет ткани, подкладки, молний, бегунков

Нанести логотип (шелкография, термоперенос, вышивка, нашивка)

Добавить аксессуары (бирка, ремень, упаковка)

Материалы: неопрен, нейлон, полиэстер, экокожа","Нельзя менять внутренние размеры и конструкцию без новой модели

Нельзя печатать на швах и рельефах

Нельзя использовать наклейки

Нельзя применять краску, которая трескается при сгибе",,
Авоськи,,,"Изменить цвет сетки и ручек

Нанести логотип шелкографией, вышивкой, нашивкой

Добавить бирку, упаковку

Использовать разные материалы (хлопок, нейлон, полиэстер)","Нельзя менять структуру вязки

Нельзя наносить печать на растянутые зоны (искажение)

Нельзя использовать наклейки

Нельзя красить уже готовое изделие — может полинять",,
Чехлы для чемодана,,,"Изменить цвет и материал (спандекс, полиэстер)

Нанести логотип сублимацией или шелкографией

Добавить упаковку

Выбрать фактуру ткани (матовая, глянцевая, с узором)","Нельзя менять размер и конструкцию вырезов под ручки

Нельзя использовать вышивку (тянет ткань)

Нельзя клеить наклейки

Нельзя использовать краску, неустойчивую к растяжению",,
"Стикеры, наклейки",,,"Изменить форму, размер, материал (ПВХ, бумага, смола)

Сделать прозрачные, глянцевые, матовые, 3D

Печать УФ, шелкография, фольгирование

Индивидуальная упаковка","Нельзя делать слишком мелкие элементы (рвутся при отклейке)

Нельзя использовать некачекий клей (оставляет следы)

Нельзя наносить на неровные поверхности

Нельзя делать слишком толстый слой заливки — деформируется",,
Носки,,,"Изменить цвет, состав нити, узор

Вышивка, жаккард, нанесение силиконовых элементов

Индивидуальная упаковка, бандероль, ярлык","Нельзя печатать УФ или шелкографией — краска трескается

Нельзя делать логотип на пятке или резинке (растяжение)

Нельзя использовать нестойкие красители

Нельзя добавлять наклейки",,
"Шарфы, платки",,,"Изменить материал, цвет, размер

Нанести рисунок шелкографией, сублимацией, жаккардовым способом

Добавить упаковку, бирку

Возможна вышивка логотипа","Нельзя наносить печать на бахрому и края

Нельзя использовать наклейки или УФ-печать (не держится на ткани)

Нельзя делать чрезмерно мелкие детали

Нельзя изменять состав ткани без теста",,
"Худи, толстовка",,,"Изменить цвет, ткань, шнурки, молнии

Нанести логотип шелкографией, вышивкой, термопереносом, нашивкой

Индивидуальная упаковка

Вариации отделки (манжеты, бирка, фурнитура)","Нельзя менять крой без разработки новой выкройки

Нельзя печатать на швах

Нельзя использовать нестойкие краски

Нельзя использовать наклейки",,
Шапки,,,"Изменить цвет пряжи, подкладки, помпона

Добавить вышивку, бирку, жаккард

Индивидуальная упаковка","Нельзя использовать шелкографию и УФ-печать (не держится на ткани)

Нельзя менять вязку без редизайна

Нельзя добавлять наклейки

Нельзя использовать краску — только нитяные методы",,
Чемодан,,,"Изменить цвет корпуса, ручек, колёс, фурнитуры

Нанести логотип (шелкография, УФ-печать, лазерная гравировка по алюминию, шильд, металлическая пластина)

Добавить аксессуары (бирка, защитный чехол, индивидуальная упаковка)

Возможна кастомизация внутренней подкладки (цвет, принт, этикетка)

Использовать разные материалы корпуса (ABS, PC, алюминий, тканевый)","Нельзя менять конструкцию корпуса, телескопической ручки и колёс без новой пресс-формы

Нельзя печатать на рельефных поверхностях, углах и колёсных арках

Нельзя наносить наклейки — быстро отклеиваются при транспортировке

Нельзя использовать нестойкие краски (царапаются и стираются)

Нельзя вмешиваться в систему замков и каркаса — теряется прочность и гарантия",,
